,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
260,SP1,03/03/18,La Coruna,Eibar,1,1,-1,2.79,3.1,2.7,13,9,1.44310344827586,4,2
261,SP1,03/03/18,Leganes,Malaga,2,0,1,2.14,2.89,4,11,6,1.677793904209,5,2.5
262,SP1,03/03/18,Real Madrid,Getafe,3,1,1,1.19,7.5,13,35,8,4.75609756097561,27,13.5
263,SP1,03/03/18,Sevilla,Ath Bilbao,2,0,1,1.7,3.75,5.25,20,16,2.1875,4,2
264,SP1,03/03/18,Villarreal,Girona,0,2,-1,1.8,3.39,4.75,23,14,1.9781941031941,9,4.5
265,SP1,04/03/18,Barcelona,Ath Madrid,1,0,1,1.72,3.79,4.75,37,24,2.10802107728337,13,6.5
266,SP1,04/03/18,Levante,Espanol,1,1,-1,3.1,3.1,2.45,12,10,1.36846846846847,2,1
267,SP1,04/03/18,Sociedad,Alaves,2,1,1,1.64,4,5.25,30,9,2.27027027027027,21,10.5
268,SP1,04/03/18,Valencia,Betis,2,0,1,1.44,4.75,6.5,27,18,2.74444444444444,9,4.5
269,SP1,05/03/18,Celta,Las Palmas,2,1,1,1.44,4.33,7,20,5,2.67519858781995,15,7.5
270,SP1,09/03/18,Girona,La Coruna,2,0,1,1.55,4.2,5.5,22,11,2.38144329896907,11,5.5
271,SP1,10/03/18,Eibar,Real Madrid,1,2,-1,5.75,4.75,1.5,24,27,1.14,-3,-1.5
272,SP1,10/03/18,Getafe,Levante,0,1,-1,1.75,3.5,5.25,24,9,2.1,15,7.5
273,SP1,10/03/18,Malaga,Barcelona,0,2,-1,13,6,1.25,10,32,1.03448275862069,-22,-11
274,SP1,10/03/18,Sevilla,Valencia,0,2,-1,2,3.5,3.79,22,23,1.81961591220851,-1,-0.5
275,SP1,11/03/18,Ath Bilbao,Leganes,2,0,1,1.9,3.29,4.5,11,10,1.900513478819,1,0.5
276,SP1,11/03/18,Ath Madrid,Celta,3,0,1,1.39,4.75,8,21,23,2.98039215686275,-2,-1
277,SP1,11/03/18,Espanol,Sociedad,2,1,1,2.87,3.1,2.62,13,17,1.41993006993007,-4,-2
278,SP1,11/03/18,Las Palmas,Villarreal,0,2,-1,3.5,3.5,2.1,14,13,1.3125,1,0.5
279,SP1,12/03/18,Alaves,Betis,1,3,-1,2.14,3.29,3.6,14,18,1.71901306240929,-4,-2
280,SP1,16/03/18,Levante,Eibar,2,1,1,3.2,3.2,2.37,13,10,1.36157989228007,3,1.5
281,SP1,17/03/18,Betis,Espanol,3,0,1,2.2,3.39,3.29,25,11,1.66962574850299,14,7
282,SP1,17/03/18,La Coruna,Las Palmas,1,1,-1,1.72,3.75,5,14,6,2.14285714285714,8,4
283,SP1,17/03/18,Sociedad,Getafe,1,2,-1,1.72,3.6,5.25,32,9,2.13559322033898,23,11.5
284,SP1,17/03/18,Valencia,Alaves,3,1,1,1.44,4.5,7.5,29,10,2.8125,19,9.5
285,SP1,18/03/18,Barcelona,Ath Bilbao,2,0,1,1.16,8,15,38,16,5.21739130434783,22,11
286,SP1,18/03/18,Celta,Malaga,0,0,-1,1.44,4.5,7,22,6,2.73913043478261,16,8
287,SP1,18/03/18,Leganes,Sevilla,2,1,1,3.7,3.29,2.1,13,14,1.28181818181818,-1,-0.5
288,SP1,18/03/18,Real Madrid,Girona,6,3,1,1.16,7.5,17,38,16,5.20408163265306,22,11
289,SP1,18/03/18,Villarreal,Ath Madrid,2,1,1,4.2,3.1,2.04,23,24,1.23035019455253,-1,-0.5
290,SP1,31/03/18,Ath Bilbao,Celta,1,1,-1,2.04,3.29,3.6,13,23,1.71901306240929,-10,-5
291,SP1,31/03/18,Girona,Levante,1,1,-1,1.57,3.79,6,24,10,2.32277834525026,14,7
292,SP1,31/03/18,Las Palmas,Real Madrid,0,3,-1,10,6,1.25,14,29,1.03448275862069,-15,-7.5
293,SP1,31/03/18,Sevilla,Barcelona,2,2,-1,4.75,4,1.66,22,34,1.17314487632509,-12,-6
294,SP1,01/04/18,Ath Madrid,La Coruna,1,0,1,1.22,5.75,13,24,11,3.98666666666667,13,6.5
295,SP1,01/04/18,Eibar,Sociedad,0,0,-1,2.37,3.39,2.87,25,18,1.55420127795527,7,3.5
296,SP1,01/04/18,Espanol,Alaves,0,0,-1,2.04,3.2,3.75,15,11,1.72661870503597,4,2
297,SP1,01/04/18,Leganes,Valencia,0,1,-1,3.75,3.39,2,15,25,1.25788497217069,-10,-5
298,SP1,01/04/18,Malaga,Villarreal,1,0,1,3.5,3.2,2.14,10,15,1.28239700374532,-5,-2.5
299,SP1,02/04/18,Getafe,Betis,0,1,-1,1.95,3.5,3.75,24,21,1.81034482758621,3,1.5
300,SP1,06/04/18,La Coruna,Malaga,3,2,1,2.04,3.29,3.79,15,6,1.76117231638418,9,4.5
301,SP1,07/04/18,Alaves,Getafe,2,0,1,2.45,3,3.2,15,11,1.54838709677419,4,2
302,SP1,07/04/18,Barcelona,Leganes,3,1,1,1.12,9,21,40,10,6.3,30,15
303,SP1,07/04/18,Betis,Eibar,2,0,1,2.25,3.39,3.25,28,11,1.65926204819277,17,8.5
304,SP1,07/04/18,Celta,Sevilla,4,0,1,2.2,3.39,3.29,22,15,1.66962574850299,7,3.5
305,SP1,08/04/18,Levante,Las Palmas,2,1,1,1.9,3.6,4,15,7,1.89473684210526,8,4
306,SP1,08/04/18,Real Madrid,Ath Madrid,1,1,-1,1.75,3.75,4.75,44,25,2.09558823529412,19,9.5
307,SP1,08/04/18,Sociedad,Girona,5,0,1,1.9,3.6,4,33,19,1.89473684210526,14,7
308,SP1,08/04/18,Valencia,Espanol,1,0,1,1.5,4.33,6.5,32,11,2.59879963065559,21,10.5
309,SP1,09/04/18,Villarreal,Ath Bilbao,1,3,-1,1.85,3.5,4.5,25,16,1.96875,9,4.5
310,SP1,13/04/18,Girona,Betis,0,1,-1,2.29,3.39,3.1,25,22,1.61926040061633,3,1.5
311,SP1,14/04/18,Ath Bilbao,La Coruna,2,3,-1,1.66,3.75,5.5,14,11,2.22972972972973,3,1.5
312,SP1,14/04/18,Barcelona,Valencia,2,1,1,1.28,6,9.5,43,26,3.67741935483871,17,8.5
313,SP1,14/04/18,Las Palmas,Sociedad,0,1,-1,3.79,3.6,1.95,14,18,1.26486486486486,-4,-2
314,SP1,14/04/18,Leganes,Celta,1,0,1,3.1,3.2,2.39,15,24,1.36815742397138,-9,-4.5
315,SP1,14/04/18,Sevilla,Villarreal,2,2,-1,1.8,3.75,4.5,24,15,2.04545454545455,9,4.5
316,SP1,15/04/18,Ath Madrid,Levante,3,0,1,1.22,6,15,25,11,4.28571428571429,14,7
317,SP1,15/04/18,Eibar,Alaves,0,1,-1,1.83,3.39,4.75,25,11,1.9781941031941,14,7
318,SP1,15/04/18,Getafe,Espanol,1,0,1,2.14,3.1,3.75,24,11,1.6970802919708,13,6.5
319,SP1,15/04/18,Malaga,Real Madrid,1,2,-1,10,5.5,1.28,11,32,1.03834808259587,-21,-10.5
320,SP1,17/04/18,Celta,Barcelona,2,2,-1,4.75,4.33,1.64,26,36,1.18948073701843,-10,-5
321,SP1,17/04/18,La Coruna,Sevilla,0,0,-1,2.5,3.5,2.75,18,15,1.54,3,1.5
322,SP1,17/04/18,Villarreal,Leganes,2,1,1,1.6,3.79,6.5,26,11,2.39407191448008,15,7.5
323,SP1,18/04/18,Espanol,Eibar,0,1,-1,2.29,3.1,3.39,15,11,1.61926040061633,4,2
324,SP1,18/04/18,Real Madrid,Ath Bilbao,1,1,-1,1.19,7,12,45,19,4.42105263157895,26,13
325,SP1,18/04/18,Valencia,Getafe,1,2,-1,1.44,4,8,33,11,2.66666666666667,22,11
326,SP1,19/04/18,Alaves,Girona,1,2,-1,2.37,3.1,3.29,17,19,1.59608763693271,-2,-1
327,SP1,19/04/18,Betis,Las Palmas,1,0,1,1.36,5.25,7.5,30,8,3.08823529411765,22,11
328,SP1,19/04/18,Levante,Malaga,1,0,1,1.85,3.5,4.5,17,8,1.96875,9,4.5
329,SP1,19/04/18,Sociedad,Ath Madrid,3,0,1,3.29,3.29,2.25,38,26,1.33619133574007,12,6
330,SP1,20/04/18,Leganes,La Coruna,0,0,-1,2.29,3.25,3.2,16,14,1.61240310077519,2,1
331,SP1,21/04/18,Celta,Valencia,1,1,-1,2.7,3.39,2.6,28,27,1.47145242070117,1,0.5
332,SP1,21/04/18,Eibar,Getafe,0,1,-1,2.04,3.2,4,25,13,1.77777777777778,12,6
333,SP1,22/04/18,Ath Madrid,Betis,0,0,-1,1.61,3.75,6,28,23,2.30769230769231,5,2.5
334,SP1,22/04/18,Girona,Espanol,0,2,-1,2.14,3.25,3.6,25,11,1.70802919708029,14,7
335,SP1,22/04/18,Las Palmas,Alaves,0,4,-1,3.1,3.2,2.39,14,12,1.36815742397138,2,1
336,SP1,22/04/18,Malaga,Sociedad,2,0,1,5.25,3.6,1.72,12,19,1.16390977443609,-7,-3.5
337,SP1,23/04/18,Ath Bilbao,Levante,1,3,-1,1.66,3.75,5.5,16,11,2.22972972972973,5,2.5
338,SP1,27/04/18,Levante,Sevilla,2,1,1,4.5,3.6,1.75,18,15,1.17757009345794,3,1.5
339,SP1,28/04/18,Espanol,Las Palmas,1,1,-1,1.36,4.75,9.5,15,8,3.16666666666667,7,3.5
340,SP1,28/04/18,Real Madrid,Leganes,2,1,1,1.3,5.5,10,46,12,3.54838709677419,34,17
341,SP1,28/04/18,Sociedad,Ath Bilbao,3,1,1,1.85,3.6,4.33,41,20,1.9656998738966,21,10.5
342,SP1,28/04/18,Villarreal,Celta,4,1,1,1.72,3.75,5,28,24,2.14285714285714,4,2
343,SP1,29/04/18,Alaves,Ath Madrid,0,1,-1,3.29,3.1,2.37,18,26,1.34314442413163,-8,-4
344,SP1,29/04/18,Getafe,Girona,1,1,-1,2.1,3.1,4,25,21,1.74647887323944,4,2
345,SP1,29/04/18,La Coruna,Barcelona,2,4,-1,12,6,1.25,18,38,1.03448275862069,-20,-10
346,SP1,29/04/18,Valencia,Eibar,0,0,-1,1.5,4,7.5,34,12,2.60869565217391,22,11
347,SP1,30/04/18,Betis,Malaga,2,1,1,1.44,4.5,7.5,31,8,2.8125,23,11.5
348,SP1,04/05/18,Sevilla,Sociedad,1,0,1,2.1,3.79,3.1,26,19,1.70522496371553,7,3.5
349,SP1,05/05/18,Ath Bilbao,Betis,2,0,1,2.25,3.29,3.29,17,23,1.645,-6,-3
350,SP1,05/05/18,Celta,La Coruna,1,1,-1,1.61,4,5.5,29,14,2.31578947368421,15,7.5
351,SP1,05/05/18,Girona,Eibar,1,4,-1,2.1,3.29,3.75,25,12,1.75248579545455,13,6.5
352,SP1,05/05/18,Villarreal,Valencia,1,0,1,2.25,3.39,3.2,32,28,1.64613050075873,4,2
353,SP1,06/05/18,Ath Madrid,Espanol,0,2,-1,1.39,4.2,10,28,13,2.95774647887324,15,7.5
354,SP1,06/05/18,Barcelona,Real Madrid,2,2,-1,1.66,4.33,4.5,45,34,2.20668176670442,11,5.5
355,SP1,06/05/18,Las Palmas,Getafe,0,1,-1,4,3.29,2,14,14,1.24385633270321,0,0
356,SP1,06/05/18,Malaga,Alaves,0,3,-1,2.39,3.2,3.1,14,16,1.57460317460317,-2,-1
357,SP1,07/05/18,Leganes,Levante,0,3,-1,2.1,3.2,3.89,16,14,1.75571227080395,2,1
358,SP1,09/05/18,Barcelona,Villarreal,5,1,1,1.28,5.75,10,47,17,3.65079365079365,30,15
359,SP1,09/05/18,Sevilla,Real Madrid,3,2,1,2.45,3.7,2.62,27,36,1.53386075949367,-9,-4.5
360,SP1,12/05/18,Alaves,Ath Bilbao,3,1,1,2.5,3.29,2.89,18,21,1.53852750809062,-3,-1.5
361,SP1,12/05/18,Betis,Sevilla,2,2,-1,2.62,3.39,2.7,33,16,1.50295566502463,17,8.5
362,SP1,12/05/18,Eibar,Las Palmas,1,0,1,1.39,4.5,9,25,9,3,16,8
363,SP1,12/05/18,Getafe,Ath Madrid,0,1,-1,2.79,3.1,2.79,26,27,1.46842105263158,-1,-0.5
364,SP1,12/05/18,Girona,Valencia,0,1,-1,2.5,3.39,2.75,26,28,1.51832247557003,-2,-1
365,SP1,12/05/18,La Coruna,Villarreal,2,4,-1,3.5,3.6,2.04,20,18,1.30212765957447,2,1
366,SP1,12/05/18,Real Madrid,Celta,6,0,1,1.36,5,9,48,25,3.21428571428571,23,11.5
367,SP1,12/05/18,Sociedad,Leganes,3,2,1,1.44,4.2,8.5,44,13,2.81102362204724,31,15.5
368,SP1,13/05/18,Espanol,Malaga,4,1,1,1.61,3.7,6.25,16,9,2.32412060301508,7,3.5
369,SP1,13/05/18,Levante,Barcelona,5,4,1,10,5.25,1.3,20,42,1.04198473282443,-22,-11
370,SP1,19/05/18,Celta,Levante,4,2,1,1.8,4,4.1,30,17,2.02469135802469,13,6.5
371,SP1,19/05/18,Las Palmas,Girona,1,2,-1,3.1,3.5,2.25,14,22,1.3695652173913,-8,-4
372,SP1,19/05/18,Leganes,Betis,3,2,1,2.7,3.6,2.5,16,23,1.47540983606557,-7,-3.5
373,SP1,19/05/18,Malaga,Getafe,0,1,-1,3.3,3.3,2.25,14,15,1.33783783783784,-1,-0.5
374,SP1,19/05/18,Sevilla,Alaves,1,0,1,1.4,4.75,8,30,19,2.98039215686275,11,5.5
375,SP1,19/05/18,Villarreal,Real Madrid,2,2,-1,3.1,4.1,2.1,33,38,1.38870967741935,-5,-2.5
376,SP1,20/05/18,Ath Bilbao,Espanol,0,1,-1,2.04,3.5,3.6,19,15,1.77464788732394,4,2
377,SP1,20/05/18,Ath Madrid,Eibar,2,2,-1,1.61,3.8,6,28,16,2.3265306122449,12,6
378,SP1,20/05/18,Barcelona,Sociedad,1,0,1,1.22,7,11,52,19,4.27777777777778,33,16.5
379,SP1,20/05/18,Valencia,La Coruna,2,1,1,1.4,4.75,8,34,15,2.98039215686275,19,9.5
