,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
54,D1,25/09/15,FC Koln,Ingolstadt,1,1,-1,2.05,3.3,3.8,4,3,1.76619718309859,1,
55,D1,26/09/15,Augsburg,Hoffenheim,1,3,-1,2.25,3.5,3.1,2,2,1.64393939393939,0,
56,D1,26/09/15,Hamburg,Schalke 04,0,1,-1,2.88,3.5,2.4,3,4,1.42372881355932,-1,
57,D1,26/09/15,Mainz,Bayern Munich,0,3,-1,12,6,1.25,6,5,1.03448275862069,1,
58,D1,26/09/15,Stuttgart,M'gladbach,1,3,-1,2.1,3.5,3.4,2,1,1.72463768115942,1,
59,D1,26/09/15,Werder Bremen,Leverkusen,0,3,-1,3.8,3.6,1.95,2,1,1.26486486486486,1,
60,D1,26/09/15,Wolfsburg,Hannover,1,1,-1,1.4,4.75,8,7,2,2.98039215686275,5,
61,D1,27/09/15,Dortmund,Darmstadt,2,2,-1,1.14,8.5,17,10,2,5.66666666666667,8,
62,D1,27/09/15,Ein Frankfurt,Hertha,1,1,-1,1.95,3.5,4,7,2,1.86666666666667,5,
63,D1,02/10/15,Darmstadt,Mainz,2,3,-1,3.1,3.25,2.4,4,3,1.38053097345133,1,
64,D1,03/10/15,Hannover,Werder Bremen,1,0,1,2.6,3.4,2.7,3,5,1.50491803278689,-2,
65,D1,03/10/15,Hertha,Hamburg,3,0,1,2.2,3.2,3.5,5,5,1.67164179104478,0,
66,D1,03/10/15,Hoffenheim,Stuttgart,2,2,-1,2.45,3.75,2.65,3,6,1.552734375,-3,
67,D1,03/10/15,Ingolstadt,Ein Frankfurt,2,0,1,2.5,3.25,2.9,0,5,1.53252032520325,-5,
68,D1,03/10/15,M'gladbach,Wolfsburg,2,0,1,2.6,3.4,2.7,5,2,1.50491803278689,3,
69,D1,04/10/15,Bayern Munich,Dortmund,5,1,1,1.5,4.33,6.5,15,9,2.59879963065559,6,
70,D1,04/10/15,Leverkusen,Augsburg,1,1,-1,1.4,4.75,8,3,4,2.98039215686275,-1,
71,D1,04/10/15,Schalke 04,FC Koln,0,3,-1,1.73,3.8,4.8,5,5,2.12093023255814,0,
72,D1,16/10/15,Mainz,Dortmund,0,2,-1,5.75,4.75,1.5,6,10,1.14,-4,
