Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,21/10/2018,5,7,4,0,H,1.61,4.33,5,71,71,2.50224308300395,
D1,26/10/2018,13,5,3,1,H,3.5,3.6,2,72,72,1.34630849220104,
D1,27/10/2018,1,14,2,2,D,1.4,4.75,8,73,73,2.80396581196581,
D1,27/10/2018,15,3,0,3,A,3,3.4,2.37,74,74,1.39471698113208,
D1,27/10/2018,11,8,1,2,A,2.6,3.3,2.75,75,75,1.60109567901235,
D1,27/10/2018,9,16,4,0,H,1.57,4.33,5.5,76,76,2.68765567765568,
D1,27/10/2018,7,0,1,2,A,11,6.5,1.25,77,77,1.04259833134684,
D1,28/10/2018,17,12,1,1,D,3.3,3.5,2.14,78,78,1.27189045936396,
D1,28/10/2018,4,6,0,0,D,1.75,3.6,4.75,79,79,2.04544349939247,
D1,28/10/2018,10,2,2,6,A,2.3,3.4,3.1,80,80,1.58806153846154,
D1,02/11/2018,16,12,0,3,A,3,3.5,2.3,81,81,1.43874581939799,
D1,03/11/2018,8,17,2,2,D,1.6,3.8,6,82,82,2.39144602851324,
D1,03/11/2018,0,13,1,1,D,1.11,10,21,83,83,7.21131846958437,
D1,03/11/2018,14,4,0,3,A,3.2,3.4,2.25,84,84,1.37753846153846,
D1,03/11/2018,2,9,1,4,A,2.1,4,3.1,85,85,1.77189944134078,
D1,03/11/2018,6,11,3,1,H,1.61,3.8,6,86,86,2.26763673890609,
D1,03/11/2018,3,1,0,1,A,3.8,3.8,1.9,87,87,1.35558620689655,
D1,04/11/2018,7,10,2,1,H,3,3.4,2.37,88,88,1.48065466448445,
D1,04/11/2018,5,15,3,0,H,1.36,4.75,8,89,89,3.03006230529595,
D1,09/11/2018,11,3,2,1,H,2.9,3.3,2.37,90,90,1.44455611390285,
D1,10/11/2018,1,0,3,2,H,3.1,3.8,2.1,91,91,1.31085346215781,
D1,10/11/2018,15,14,4,1,H,3.6,3.4,2.1,92,92,1.39139966273187,
D1,10/11/2018,13,7,1,3,A,2,3.4,3.75,93,93,1.68740740740741,
D1,10/11/2018,9,8,2,1,H,1.61,4.33,5,94,94,2.55844206426485,
D1,10/11/2018,17,16,0,2,A,2.4,3.25,3.1,95,95,1.60608359133127,
D1,10/11/2018,10,5,1,3,A,2.4,3.5,2.75,96,96,1.63025641025641,
D1,11/11/2018,12,6,3,0,H,2.2,3.3,3.4,97,97,1.596,
D1,11/11/2018,4,2,3,0,H,1.8,4,4,98,98,1.99494987468672,
D1,23/11/2018,2,16,2,0,H,1.5,4.5,6,99,99,2.638125,
