Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
D1,21/10/17,5,2,1,5,A,2.45,3.39,2.87,76,76,1.55420127795527
D1,21/10/17,4,16,1,0,H,1.53,4,7,77,77,2.54545454545455
D1,22/10/17,17,10,0,0,D,2.39,3.29,3,78,78,1.5691573926868
D1,22/10/17,13,14,1,1,D,2.54,3.29,2.79,79,79,1.50972039473684
D1,22/10/17,3,9,1,1,D,2.5,3.39,2.79,80,80,1.53043689320388
D1,27/10/17,7,12,1,1,D,2.79,3.2,2.54,81,81,1.41602787456446
D1,28/10/17,0,4,2,0,H,1.33,5.5,8.5,82,82,3.33928571428571
D1,28/10/17,11,1,4,2,H,5.5,4.2,1.57,83,83,1.14280762564991
D1,28/10/17,14,15,2,1,H,1.9,3.39,4.33,84,84,1.90138601036269
D1,28/10/17,9,5,1,3,A,2.04,3.6,3.5,85,85,1.77464788732394
D1,28/10/17,2,17,2,1,H,1.33,5.25,9,86,86,3.31578947368421
D1,28/10/17,6,3,1,1,D,1.75,3.6,5,87,87,2.09302325581395
D1,29/10/17,16,13,3,0,H,1.83,3.5,4.5,88,88,1.96875
D1,29/10/17,10,8,0,3,A,2.29,3.29,3.2,89,89,1.62218798151002
D1,03/11/17,12,10,2,1,H,1.75,3.75,4.75,90,90,2.09558823529412
D1,04/11/17,8,2,1,1,D,3.5,3.6,2.04,91,91,1.30212765957447
D1,04/11/17,1,0,1,3,A,3.29,3.79,2.04,92,92,1.32617495711835
D1,04/11/17,13,6,0,1,A,3.79,3.29,2.04,93,93,1.25921200750469
D1,04/11/17,15,16,3,1,H,2.45,3.39,2.87,94,94,1.55420127795527
D1,04/11/17,5,7,1,1,D,1.61,4,5.5,95,95,2.31578947368421
D1,04/11/17,4,11,2,1,H,1.44,4.5,7.5,96,96,2.8125
D1,05/11/17,17,9,0,3,A,2.87,3.39,2.45,97,97,1.42217465753425
D1,05/11/17,3,14,3,3,D,2,3.39,4,98,98,1.83491204330176
D1,17/11/17,16,1,2,1,H,4.2,3.89,1.8,99,99,1.23057996485062
D1,18/11/17,0,8,3,0,H,1.16,8,15,100,100,5.21739130434783
D1,18/11/17,14,5,2,4,A,2.89,3.25,2.5,101,101,1.41304347826087
D1,18/11/17,9,12,1,1,D,2.2,3.39,3.39,102,102,1.695
D1,18/11/17,2,4,2,2,D,2.29,3.5,3,103,103,1.61538461538462
D1,18/11/17,7,17,1,0,H,2.04,3.39,3.79,104,104,1.78942896935933
D1,18/11/17,3,13,3,1,H,1.61,3.75,6,105,105,2.30769230769231
D1,19/11/17,6,15,2,0,H,1.57,3.79,6.5,106,106,2.39407191448008
D1,19/11/17,10,11,4,0,H,2.2,3.39,3.29,107,107,1.66962574850299
D1,24/11/17,11,16,1,1,D,2.29,3.39,3.1,108,108,1.61926040061633
D1,25/11/17,8,3,2,1,H,2.37,3.29,3.1,109,109,1.59608763693271
D1,25/11/17,1,6,4,4,D,1.72,4.2,4.33,110,110,2.13200468933177
D1,25/11/17,12,2,0,1,A,2.62,3.5,2.62,111,111,1.4983660130719
D1,25/11/17,13,7,2,1,H,2.75,3.29,2.6,112,112,1.45229202037351
D1,25/11/17,5,0,2,1,H,5.75,4.75,1.5,113,113,1.14
D1,25/11/17,4,10,2,0,H,1.5,4.33,6.5,114,114,2.59879963065559
D1,26/11/17,17,14,0,2,A,2.5,3.2,3,115,115,1.54838709677419
D1,26/11/17,15,9,3,0,H,2.79,3.39,2.5,116,116,1.43887945670628
D1,01/12/17,13,15,0,0,D,2.5,3.25,2.89,117,117,1.52972312703583
D1,02/12/17,0,11,3,1,H,1.14,9,17,118,118,5.88461538461539
D1,02/12/17,9,4,4,0,H,3.29,3.6,2.1,119,119,1.32631578947368
D1,02/12/17,2,1,1,1,D,2.25,3.6,3,120,120,1.63636363636364
D1,02/12/17,7,8,1,3,A,2.6,3.25,2.79,121,121,1.5012417218543
D1,02/12/17,6,17,2,2,D,1.44,4.33,8,122,122,2.80940794809408
D1,02/12/17,10,16,1,0,H,2.29,3.39,3.1,123,123,1.61926040061633
D1,03/12/17,14,12,1,2,A,2.7,3.25,2.7,124,124,1.47478991596639
D1,03/12/17,3,5,3,0,H,2.62,3.39,2.62,125,125,1.47783693843594
D1,08/12/17,16,2,0,2,A,3.2,3.5,2.25,126,126,1.3695652173913
D1,09/12/17,1,10,1,2,A,1.39,5.25,7,127,127,3
