,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
181,F1,11/01/2019,Caen,Lille,1,3,-1,3.8,3.25,2.1,16,26,1.27570093457944,-10,-5.0
182,F1,11/01/2019,Lyon,Reims,1,1,-1,1.45,4.5,7.5,38,18,2.8125,20,10.0
183,F1,12/01/2019,Amiens,Paris SG,0,3,-1,17.0,7.5,1.16,20,42,1.00461893764434,-22,-11.0
184,F1,12/01/2019,Guingamp,St Etienne,0,1,-1,2.87,3.2,2.5,16,42,1.4035087719298203,-26,-13.0
185,F1,12/01/2019,Nice,Bordeaux,1,0,1,2.2,3.2,3.6,19,10,1.6941176470588202,9,4.5
186,F1,13/01/2019,Dijon,Montpellier,1,1,-1,3.25,3.3,2.3,18,22,1.35535714285714,-4,-2.0
187,F1,13/01/2019,Marseille,Monaco,1,1,-1,1.57,4.0,6.0,31,19,2.4,12,6.0
188,F1,13/01/2019,Nantes,Rennes,0,1,-1,2.55,3.3,2.8,35,28,1.5147540983606598,7,3.5
189,F1,13/01/2019,Toulouse,Strasbourg,1,2,-1,2.5,3.2,3.0,20,27,1.5483870967741902,-7,-3.5
190,F1,15/01/2019,Angers,Bordeaux,1,2,-1,2.5,3.0,3.0,24,10,1.5,14,7.0
191,F1,16/01/2019,Guingamp,Rennes,2,1,1,2.87,3.2,2.55,16,28,1.4191304347826101,-12,-6.0
192,F1,16/01/2019,Monaco,Nice,1,1,-1,2.3,3.2,3.3,19,11,1.62461538461538,8,4.0
193,F1,16/01/2019,Nimes,Nantes,1,0,1,2.37,3.25,3.1,19,13,1.58661417322835,6,3.0
194,F1,16/01/2019,St Etienne,Marseille,2,1,1,2.25,3.5,3.1,19,29,1.6439393939393898,-10,-5.0
195,F1,16/01/2019,Toulouse,Lyon,2,2,-1,5.25,3.75,1.66,20,32,1.15064695009242,-12,-6.0
196,F1,18/01/2019,Lille,Amiens,2,1,1,1.65,3.6,5.75,42,11,2.2139037433155098,31,15.5
197,F1,19/01/2019,Monaco,Strasbourg,1,5,-1,1.9,3.5,4.0,19,27,1.8666666666666698,-8,-4.0
198,F1,19/01/2019,Nimes,Toulouse,0,1,-1,1.95,3.6,3.8,19,15,1.84864864864865,4,2.0
199,F1,19/01/2019,Paris SG,Guingamp,9,0,1,1.1,10.0,26.0,63,12,7.22222222222222,51,25.5
200,F1,19/01/2019,Reims,Nice,1,1,-1,2.25,3.0,3.7,21,11,1.6567164179104499,10,5.0
201,F1,20/01/2019,Angers,Nantes,1,0,1,2.45,3.1,3.1,24,13,1.55,11,5.5
202,F1,20/01/2019,Bordeaux,Dijon,1,0,1,1.66,3.6,5.75,24,13,2.2139037433155098,11,5.5
203,F1,20/01/2019,Caen,Marseille,0,1,-1,4.33,3.6,1.85,16,29,1.22201834862385,-13,-6.5
204,F1,20/01/2019,Rennes,Montpellier,0,0,-1,2.05,3.4,3.8,27,22,1.79444444444444,5,2.5
205,F1,20/01/2019,St Etienne,Lyon,1,2,-1,3.1,3.5,2.25,27,32,1.3695652173913,-5,-2.5
206,F1,23/01/2019,Nimes,Angers,3,1,1,2.05,3.4,3.8,27,20,1.79444444444444,7,3.5
207,F1,25/01/2019,Marseille,Lille,1,2,-1,2.3,3.25,3.2,31,26,1.61240310077519,5,2.5
208,F1,26/01/2019,Dijon,Monaco,2,0,1,2.9,3.3,2.37,18,19,1.37936507936508,-1,-0.5
209,F1,26/01/2019,Guingamp,Reims,0,1,-1,2.5,3.1,3.1,16,18,1.55,-2,-1.0
210,F1,26/01/2019,Nice,Nimes,2,0,1,2.1,3.2,3.75,19,18,1.7266187050359698,1,0.5
211,F1,26/01/2019,Strasbourg,Bordeaux,1,0,1,2.4,3.2,3.1,31,10,1.57460317460317,21,10.5
212,F1,27/01/2019,Amiens,Lyon,0,1,-1,6.5,4.2,1.53,20,32,1.12146596858639,-12,-6.0
213,F1,27/01/2019,Montpellier,Caen,2,0,1,1.72,3.5,5.5,31,13,2.1388888888888897,18,9.0
214,F1,27/01/2019,Paris SG,Rennes,4,1,1,1.22,6.5,12.0,63,28,4.21621621621622,35,17.5
215,F1,27/01/2019,Toulouse,Angers,0,0,-1,2.2,3.2,3.5,20,20,1.67164179104478,0,0.0
216,F1,30/01/2019,Nantes,St Etienne,1,1,-1,2.75,3.1,2.75,35,20,1.4572649572649599,15,7.5
217,F1,01/02/2019,Lille,Nice,4,0,1,1.8,3.6,4.75,42,11,2.04790419161677,31,15.5
218,F1,02/02/2019,Angers,Dijon,1,0,1,2.0,3.3,4.0,24,13,1.80821917808219,11,5.5
219,F1,02/02/2019,Monaco,Toulouse,2,1,1,1.72,3.6,5.25,19,15,2.13559322033898,4,2.0
220,F1,02/02/2019,Reims,Marseille,2,1,1,2.7,3.25,2.7,21,29,1.4747899159663898,-8,-4.0
221,F1,02/02/2019,Rennes,Amiens,1,0,1,1.6,3.75,6.5,27,11,2.3780487804878,16,8.0
222,F1,03/02/2019,Lyon,Paris SG,2,1,1,3.8,3.8,1.85,38,42,1.2442477876106202,-4,-2.0
223,F1,03/02/2019,Nimes,Montpellier,1,1,-1,2.6,3.1,2.9,38,22,1.4983333333333302,16,8.0
224,F1,05/02/2019,Marseille,Bordeaux,1,0,1,2.25,3.2,3.4,31,10,1.6484848484848502,21,10.5
225,F1,08/02/2019,Dijon,Marseille,1,2,-1,4.33,3.5,1.85,18,29,1.21028037383178,-11,-5.5
226,F1,09/02/2019,Amiens,Caen,1,0,1,2.1,3.1,4.0,20,13,1.74647887323944,7,3.5
227,F1,09/02/2019,Paris SG,Bordeaux,1,0,1,1.25,6.5,11.0,63,10,4.08571428571429,53,26.5
228,F1,09/02/2019,Strasbourg,Angers,1,2,-1,2.05,3.2,4.0,31,20,1.77777777777778,11,5.5
229,F1,10/02/2019,Guingamp,Lille,0,2,-1,3.4,3.3,2.2,16,26,1.32,-10,-5.0
230,F1,10/02/2019,Montpellier,Monaco,2,2,-1,2.45,3.1,3.1,31,19,1.55,12,6.0
231,F1,10/02/2019,Nantes,Nimes,2,4,-1,1.9,3.3,4.2,35,19,1.848,16,8.0
232,F1,10/02/2019,Nice,Lyon,1,0,1,4.75,4.0,1.7,19,32,1.1929824561403501,-13,-6.5
233,F1,10/02/2019,Rennes,St Etienne,3,0,1,2.15,3.4,3.4,27,32,1.7,-5,-2.5
234,F1,10/02/2019,Toulouse,Reims,1,1,-1,2.75,3.0,2.8,20,18,1.44827586206897,2,1.0
