,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
0,E0,08/08/15,Bournemouth,Aston Villa,0,1,-1,2,3.6,4,23,13,1.89473684210526,10,5
1,E0,08/08/15,Chelsea,Swansea,2,2,-1,1.36,5,11,32,22,3.4375,10,5
2,E0,08/08/15,Everton,Watford,2,2,-1,1.7,3.9,5.5,35,20,2.28191489361702,15,7.5
3,E0,08/08/15,Leicester,Sunderland,4,2,1,1.95,3.5,4.33,35,25,1.93550446998723,10,5
4,E0,08/08/15,Man United,Tottenham,1,0,1,1.65,4,6,27,34,2.4,-7,-3.5
5,E0,08/08/15,Norwich,Crystal Palace,1,3,-1,2.55,3.3,3,26,20,1.57142857142857,6,3
6,E0,09/08/15,Arsenal,West Ham,0,2,-1,1.29,6,12,31,31,4,0,0
7,E0,09/08/15,Newcastle,Southampton,2,2,-1,2.88,3.3,2.7,32,20,1.485,12,6
8,E0,09/08/15,Stoke,Liverpool,0,1,-1,3.4,3.4,2.3,22,30,1.3719298245614,-8,-4
9,E0,10/08/15,West Brom,Man City,0,3,-1,5.75,4,1.67,20,24,1.17813051146384,-4,-2
10,E0,14/08/15,Aston Villa,Man United,0,1,-1,5.5,3.8,1.73,14,22,1.18878842676311,-8,-4
11,E0,15/08/15,Southampton,Everton,0,3,-1,1.95,3.6,4.33,39,24,1.9656998738966,15,7.5
12,E0,15/08/15,Sunderland,Norwich,1,3,-1,2.5,3.3,3.1,23,13,1.5984375,10,5
13,E0,15/08/15,Swansea,Newcastle,2,0,1,1.95,3.6,4.33,20,12,1.9656998738966,8,4
14,E0,15/08/15,Tottenham,Stoke,2,2,-1,1.8,3.75,5,35,19,2.14285714285714,16,8
15,E0,15/08/15,Watford,West Brom,0,0,-1,2.3,3.4,3.4,20,14,1.7,6,3
16,E0,15/08/15,West Ham,Leicester,1,2,-1,2.25,3.5,3.4,34,33,1.72463768115942,1,0.5
17,E0,16/08/15,Crystal Palace,Arsenal,1,2,-1,5.25,3.9,1.73,19,34,1.19840142095915,-15,-7.5
18,E0,16/08/15,Man City,Chelsea,3,0,1,2.1,3.5,3.75,47,27,1.81034482758621,20,10
19,E0,17/08/15,Liverpool,Bournemouth,1,0,1,1.45,4.75,8,33,22,2.98039215686275,11,5.5
20,E0,22/08/15,Crystal Palace,Aston Villa,2,1,1,1.85,3.6,4.75,19,13,2.04790419161677,6,3
21,E0,22/08/15,Leicester,Tottenham,1,1,-1,2.63,3.6,2.75,35,34,1.55905511811024,1,0.5
22,E0,22/08/15,Man United,Newcastle,0,0,-1,1.36,5.25,10,27,12,3.44262295081967,15,7.5
23,E0,22/08/15,Norwich,Stoke,1,1,-1,2.3,3.3,3.5,26,19,1.69852941176471,7,3.5
24,E0,22/08/15,Sunderland,Swansea,1,1,-1,4,3.4,2.1,23,22,1.29818181818182,1,0.5
25,E0,22/08/15,West Ham,Bournemouth,3,4,-1,2.38,3.4,3.2,34,22,1.64848484848485,12,6
26,E0,23/08/15,Everton,Man City,0,2,-1,5,4,1.73,35,24,1.20767888307155,11,5.5
27,E0,23/08/15,Watford,Southampton,0,0,-1,2.8,3.3,2.75,20,20,1.5,0,0
28,E0,23/08/15,West Brom,Chelsea,2,3,-1,6.5,4,1.62,20,27,1.15302491103203,-7,-3.5
29,E0,24/08/15,Arsenal,Liverpool,0,0,-1,1.75,4,5,31,30,2.22222222222222,1,0.5
30,E0,29/08/15,Aston Villa,Sunderland,2,2,-1,1.91,3.5,4.75,14,25,2.01515151515152,-11,-5.5
31,E0,29/08/15,Bournemouth,Leicester,1,1,-1,2.2,3.6,3.4,23,33,1.74857142857143,-10,-5
32,E0,29/08/15,Chelsea,Crystal Palace,1,2,-1,1.36,5,11,32,20,3.4375,12,6
33,E0,29/08/15,Liverpool,West Ham,0,3,-1,1.36,5.5,9,33,31,3.41379310344828,2,1
