,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
72,D1,11/03/16,Hertha,Schalke 04,2,0,1,2.4,3.2,3,17,16,1.54838709677419,1,
73,D1,12/03/16,Bayern Munich,Werder Bremen,5,0,1,1.13,9,21,38,20,6.3,18,
74,D1,12/03/16,Darmstadt,Augsburg,2,2,-1,2.8,3.1,2.7,8,15,1.44310344827586,-7,
75,D1,12/03/16,Hannover,FC Koln,0,2,-1,3.5,3.3,2.15,11,14,1.30183486238532,-3,
76,D1,12/03/16,Hoffenheim,Wolfsburg,1,0,1,3.4,3.6,2.1,15,11,1.32631578947368,4,
77,D1,12/03/16,Ingolstadt,Stuttgart,3,3,-1,3,3.2,2.5,12,20,1.40350877192982,-8,
78,D1,12/03/16,M'gladbach,Ein Frankfurt,3,0,1,1.57,4.33,5.5,29,10,2.42268565615463,19,
79,D1,13/03/16,Dortmund,Mainz,2,0,1,1.36,5,8.5,34,17,3.14814814814815,17,
80,D1,13/03/16,Leverkusen,Hamburg,1,0,1,1.67,3.75,5.5,19,14,2.22972972972973,5,
81,D1,18/03/16,Schalke 04,M'gladbach,2,1,1,2.45,3.5,2.8,21,21,1.55555555555556,0,
82,D1,19/03/16,Ein Frankfurt,Hannover,1,0,1,1.85,3.6,4.33,18,11,1.9656998738966,7,
83,D1,19/03/16,FC Koln,Bayern Munich,0,1,-1,11,5,1.29,12,21,1.02543720190779,-9,
84,D1,19/03/16,Hamburg,Hoffenheim,1,3,-1,2.25,3.4,3.2,16,11,1.64848484848485,5,
85,D1,19/03/16,Hertha,Ingolstadt,2,1,1,2.05,3.2,4,19,7,1.77777777777778,12,
86,D1,19/03/16,Werder Bremen,Mainz,1,1,-1,2.38,3.4,3,15,17,1.59375,-2,
87,D1,19/03/16,Wolfsburg,Darmstadt,1,1,-1,1.44,4.33,8,27,17,2.80940794809408,10,
88,D1,20/03/16,Augsburg,Dortmund,1,3,-1,6.5,4.33,1.5,15,25,1.11406518010292,-10,
89,D1,20/03/16,Stuttgart,Leverkusen,0,2,-1,2.3,3.5,2.9,20,17,1.5859375,3,
