,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
215,F1,27/01/2019,Toulouse,Angers,0,0,-1,2.2,3.2,3.5,12,11,1.67164179104478,1,0
216,F1,30/01/2019,Nantes,St Etienne,1,1,-1,2.75,3.1,2.75,18,10,1.45726495726496,8,7.5
217,F1,01/02/2019,Lille,Nice,4,0,1,1.8,3.6,4.75,21,9,2.04790419161677,12,15.5
218,F1,02/02/2019,Angers,Dijon,1,0,1,2,3.3,4,12,10,1.80821917808219,2,5.5
219,F1,02/02/2019,Monaco,Toulouse,2,1,1,1.72,3.6,5.25,9,9,2.13559322033898,0,2
220,F1,02/02/2019,Reims,Marseille,2,1,1,2.7,3.25,2.7,10,15,1.47478991596639,-5,-4
221,F1,02/02/2019,Rennes,Amiens,1,0,1,1.6,3.75,6.5,13,6,2.3780487804878,7,8
222,F1,03/02/2019,Lyon,Paris SG,2,1,1,3.8,3.8,1.85,17,25,1.24424778761062,-8,-2
223,F1,03/02/2019,Nimes,Montpellier,1,1,-1,2.6,3.1,2.9,15,12,1.49833333333333,3,8
224,F1,05/02/2019,Marseille,Bordeaux,1,0,1,2.25,3.2,3.4,19,7,1.64848484848485,12,10.5
225,F1,08/02/2019,Dijon,Marseille,1,2,-1,4.33,3.5,1.85,9,16,1.21028037383178,-7,-5.5
226,F1,09/02/2019,Amiens,Caen,1,0,1,2.1,3.1,4,12,9,1.74647887323944,3,3.5
227,F1,09/02/2019,Paris SG,Bordeaux,1,0,1,1.25,6.5,11,41,7,4.08571428571429,34,26.5
228,F1,09/02/2019,Strasbourg,Angers,1,2,-1,2.05,3.2,4,18,11,1.77777777777778,7,5.5
229,F1,10/02/2019,Guingamp,Lille,0,2,-1,3.4,3.3,2.2,10,15,1.32,-5,-5
230,F1,10/02/2019,Montpellier,Monaco,2,2,-1,2.45,3.1,3.1,16,10,1.55,6,6
231,F1,10/02/2019,Nantes,Nimes,2,4,-1,1.9,3.3,4.2,19,15,1.848,4,8
232,F1,10/02/2019,Nice,Lyon,1,0,1,4.75,4,1.7,9,19,1.19298245614035,-10,-6.5
233,F1,10/02/2019,Rennes,St Etienne,3,0,1,2.15,3.4,3.4,14,11,1.7,3,-2.5
234,F1,10/02/2019,Toulouse,Reims,1,1,-1,2.75,3,2.8,12,8,1.44827586206897,4,1
235,F1,13/02/2019,Caen,Nantes,0,1,-1,3,3.1,2.5,11,8,1.38392857142857,3,1.5
236,F1,13/02/2019,St Etienne,Strasbourg,2,1,1,1.95,3.3,4,22,20,1.80821917808219,2,-5.5
237,F1,15/02/2019,Lyon,Guingamp,2,1,1,1.3,5.25,10,19,6,3.44262295081967,13,13
238,F1,15/02/2019,Nimes,Dijon,2,0,1,1.75,3.8,4.5,16,10,2.06024096385542,6,12.5
239,F1,16/02/2019,Angers,Nice,3,0,1,2.4,3,3.3,13,9,1.57142857142857,4,6.5
240,F1,16/02/2019,Marseille,Amiens,2,0,1,1.4,4.5,9,20,6,3,14,10
241,F1,16/02/2019,Monaco,Nantes,1,0,1,1.8,3.6,4.5,11,9,2,2,3
242,F1,17/02/2019,Bordeaux,Toulouse,2,1,1,1.83,3.5,4.75,16,10,2.01515151515152,6,4.5
243,F1,17/02/2019,Caen,Strasbourg,0,0,-1,3.5,3.1,2.3,11,21,1.32037037037037,-10,-5.5
244,F1,17/02/2019,Lille,Montpellier,0,0,-1,1.85,3.3,4.75,25,13,1.9472049689441,12,10
245,F1,17/02/2019,Reims,Rennes,2,0,1,2.5,3.1,3.1,12,17,1.55,-5,-3.5
246,F1,17/02/2019,St Etienne,Paris SG,0,1,-1,5.25,4.33,1.6,24,26,1.16829679595278,-2,-10.5
247,F1,20/02/2019,Bordeaux,Guingamp,0,0,-1,1.9,3.4,4.33,18,7,1.90452781371281,11,6
248,F1,20/02/2019,Paris SG,Montpellier,5,1,1,1.25,6,12,42,13,4,29,20.5
249,F1,22/02/2019,Dijon,St Etienne,0,1,-1,3.5,3.3,2.15,10,11,1.30183486238532,-1,-2
250,F1,22/02/2019,Strasbourg,Lille,1,1,-1,2.75,3.1,2.7,19,17,1.44310344827586,2,2.5
251,F1,23/02/2019,Amiens,Nice,1,0,1,2.7,2.9,3,13,9,1.47457627118644,4,4.5
252,F1,23/02/2019,Guingamp,Angers,1,0,1,2.5,3.2,3,10,13,1.54838709677419,-3,-2
253,F1,23/02/2019,Paris SG,Nimes,3,0,1,1.25,6.5,11,47,19,4.08571428571429,28,21.5
254,F1,24/02/2019,Monaco,Lyon,2,0,1,3.4,3.5,2.1,12,19,1.3125,-7,-6.5
255,F1,24/02/2019,Montpellier,Reims,2,4,-1,2.2,3.2,3.5,18,9,1.67164179104478,9,6.5
256,F1,24/02/2019,Nantes,Bordeaux,1,0,1,1.95,3.4,4.2,21,7,1.87894736842105,14,12.5
257,F1,24/02/2019,Rennes,Marseille,1,1,-1,2.9,3.3,2.45,17,18,1.40608695652174,-1,-1
258,F1,24/02/2019,Toulouse,Caen,1,1,-1,1.85,3.5,4.5,13,9,1.96875,4,3.5
259,F1,02/03/2019,Angers,Monaco,2,2,-1,3.3,3.3,2.25,16,12,1.33783783783784,4,2.5
260,F1,02/03/2019,Caen,Paris SG,1,2,-1,12,6,1.22,11,27,1.01385041551247,-16,-13
261,F1,02/03/2019,Reims,Amiens,2,2,-1,1.75,3.4,5.25,14,6,2.0635838150289,8,5
262,F1,03/03/2019,Guingamp,Nantes,0,0,-1,2.8,3,2.8,11,9,1.44827586206897,2,1.5
263,F1,03/03/2019,Lille,Dijon,1,0,1,1.53,3.8,7.5,25,10,2.52212389380531,15,14.5
264,F1,03/03/2019,Lyon,Toulouse,5,1,1,1.28,5.5,10,21,11,3.54838709677419,10,11.5
265,F1,03/03/2019,Marseille,St Etienne,2,0,1,1.75,3.75,4.5,22,12,2.04545454545455,10,8
266,F1,03/03/2019,Nice,Strasbourg,1,0,1,2.3,2.9,3.6,10,21,1.60615384615385,-11,-4
267,F1,05/03/2019,Bordeaux,Montpellier,1,2,-1,2.5,2.9,3.3,18,14,1.54354838709677,4,1
268,F1,09/03/2019,Amiens,Nimes,2,1,1,2.45,3.2,3.1,14,19,1.57460317460317,-5,-1
269,F1,09/03/2019,Dijon,Reims,1,1,-1,3.1,3.1,2.45,10,13,1.36846846846847,-3,0
270,F1,09/03/2019,Monaco,Bordeaux,1,1,-1,1.61,4,5.25,14,7,2.27027027027027,7,4.5
271,F1,09/03/2019,Strasbourg,Lyon,2,2,-1,4.75,3.8,1.75,20,19,1.1981981981982,1,-0.5
272,F1,10/03/2019,Marseille,Nice,1,0,1,1.5,4.5,6,24,9,2.57142857142857,15,10
273,F1,10/03/2019,Montpellier,Angers,2,2,-1,2.1,3.1,4,20,13,1.74647887323944,7,5.5
274,F1,10/03/2019,Rennes,Caen,3,1,1,1.61,3.6,6.5,18,10,2.31683168316832,8,7
275,F1,10/03/2019,St Etienne,Lille,0,1,-1,2.45,3.3,3,24,18,1.57142857142857,6,0.5
276,F1,10/03/2019,Toulouse,Guingamp,1,0,1,2.15,3.2,3.5,14,7,1.67164179104478,7,4
277,F1,12/03/2019,Dijon,Paris SG,0,4,-1,13,7,1.2,11,29,1.02439024390244,-18,-12
278,F1,15/03/2019,Lille,Monaco,0,1,-1,2.1,3.2,3.8,26,14,1.73714285714286,12,11.5
279,F1,15/03/2019,Nice,Toulouse,1,1,-1,2.05,3.1,4,11,12,1.74647887323944,-1,2
280,F1,16/03/2019,Angers,Amiens,0,0,-1,2.1,3.1,4,18,8,1.74647887323944,10,6.5
281,F1,16/03/2019,Caen,St Etienne,0,5,-1,3.7,3.1,2.2,12,12,1.28679245283019,0,2.5
282,F1,16/03/2019,Guingamp,Dijon,1,0,1,2.1,3.1,4,11,10,1.74647887323944,1,1.5
283,F1,16/03/2019,Nimes,Strasbourg,2,2,-1,2.37,3.2,3.2,18,21,1.6,-3,-5.5
284,F1,17/03/2019,Bordeaux,Rennes,1,1,-1,2.62,3,2.9,19,17,1.47457627118644,2,-2
285,F1,17/03/2019,Lyon,Montpellier,3,2,1,1.4,4.33,8.5,26,16,2.86866718628215,10,8
286,F1,17/03/2019,Paris SG,Marseille,3,1,1,1.28,6,9.5,50,19,3.67741935483871,31,17
287,F1,17/03/2019,Reims,Nantes,1,0,1,2.15,3,4,16,9,1.71428571428571,7,4
288,F1,29/03/2019,Rennes,Lyon,0,1,-1,4,3.6,1.9,21,21,1.24363636363636,0,-2.5
289,F1,30/03/2019,Marseille,Angers,2,2,-1,1.53,3.75,7.5,25,15,2.5,10,5.5
290,F1,31/03/2019,Amiens,Bordeaux,0,0,-1,2.5,3.1,3.1,16,8,1.55,8,5
291,F1,31/03/2019,Dijon,Nice,0,1,-1,2.4,3.1,3.2,11,9,1.57460317460317,2,3.5
292,F1,31/03/2019,Monaco,Caen,0,1,-1,1.36,4.75,9.5,15,11,3.16666666666667,4,3
293,F1,31/03/2019,Nantes,Lille,2,3,-1,3,3.1,2.55,22,19,1.39911504424779,3,4.5
294,F1,31/03/2019,Toulouse,Paris SG,0,1,-1,10,6.5,1.25,15,33,1.04838709677419,-18,-11
295,F1,01/04/2019,St Etienne,Nimes,2,1,1,1.75,3.75,4.75,24,20,2.09558823529412,4,-11
296,F1,03/04/2019,Montpellier,Guingamp,2,0,1,1.75,3.4,5.25,22,7,2.0635838150289,15,9.5
297,F1,03/04/2019,Strasbourg,Reims,4,0,1,2.62,3.1,2.9,22,14,1.49833333333333,8,6.5
298,F1,05/04/2019,Bordeaux,Marseille,2,0,1,3.6,3.4,2.1,20,20,1.29818181818182,0,-2.5
299,F1,06/04/2019,Amiens,St Etienne,2,2,-1,3,3.1,2.55,16,17,1.39911504424779,-1,-4.5
