,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
160,E0,19/12/15,Chelsea,Sunderland,3,1,1,1.33,5.25,12,10,8,3.65217391304348,2,10.5
161,E0,19/12/15,Everton,Leicester,2,3,-1,2.1,3.75,3.6,17,18,1.83673469387755,-1,4.5
162,E0,19/12/15,Man United,Norwich,1,2,-1,1.45,4.5,8.5,9,9,2.94230769230769,0,13
163,E0,19/12/15,Newcastle,Aston Villa,1,1,-1,2.05,3.5,4,13,8,1.86666666666667,5,6.5
164,E0,19/12/15,Southampton,Tottenham,0,2,-1,2.7,3.4,2.8,13,11,1.53548387096774,2,5
165,E0,19/12/15,Stoke,Crystal Palace,1,2,-1,2.5,3.2,3.2,7,9,1.6,-2,3
166,E0,19/12/15,West Brom,Bournemouth,1,2,-1,2.55,3.3,3,10,10,1.57142857142857,0,4.5
167,E0,20/12/15,Swansea,West Ham,0,0,-1,2.1,3.4,3.9,8,13,1.81643835616438,-5,4
168,E0,20/12/15,Watford,Liverpool,3,0,1,4.2,3.6,1.95,6,10,1.26486486486486,-4,-1
169,E0,21/12/15,Arsenal,Man City,2,1,1,2.45,3.5,3,11,7,1.61538461538462,4,1
170,E0,26/12/15,Aston Villa,West Ham,1,1,-1,2.63,3.25,2.75,5,13,1.48958333333333,-8,-0.5
171,E0,26/12/15,Bournemouth,Crystal Palace,0,0,-1,2.4,3.3,3,10,11,1.57142857142857,-1,-3
172,E0,26/12/15,Chelsea,Watford,2,2,-1,1.44,4.5,7.5,13,12,2.8125,1,10.5
173,E0,26/12/15,Liverpool,Leicester,1,0,1,1.91,3.8,3.8,10,21,1.9,-11,6
174,E0,26/12/15,Man City,Sunderland,4,1,1,1.2,7,13,25,9,4.55,16,14.5
175,E0,26/12/15,Newcastle,Everton,0,1,-1,3.2,3.5,2.2,14,12,1.35087719298246,2,2.5
176,E0,26/12/15,Southampton,Arsenal,4,0,1,3.6,3.5,2.05,13,18,1.29279279279279,-5,3.5
177,E0,26/12/15,Stoke,Man United,2,0,1,3.25,3.2,2.3,8,12,1.33818181818182,-4,5.5
178,E0,26/12/15,Swansea,West Brom,1,0,1,1.91,3.4,4.5,8,6,1.93670886075949,2,6.5
179,E0,26/12/15,Tottenham,Norwich,3,0,1,1.4,4.75,8,15,11,2.98039215686275,4,8
180,E0,28/12/15,Arsenal,Bournemouth,2,0,1,1.44,4.75,8,13,12,2.98039215686275,1,13
181,E0,28/12/15,Crystal Palace,Swansea,0,0,-1,2.1,3.4,4,12,7,1.83783783783784,5,1
182,E0,28/12/15,Everton,Stoke,3,4,-1,1.95,3.6,4.2,19,6,1.93846153846154,13,5.5
183,E0,28/12/15,Man United,Chelsea,0,0,-1,2.6,3.3,3,10,8,1.57142857142857,2,2
184,E0,28/12/15,Norwich,Aston Villa,2,0,1,2.05,3.6,3.8,9,9,1.84864864864865,0,3.5
185,E0,28/12/15,Watford,Tottenham,1,2,-1,3.75,3.5,2.1,9,13,1.3125,-4,-3.5
186,E0,28/12/15,West Brom,Newcastle,1,0,1,2.2,3.25,3.75,11,5,1.74107142857143,6,5
187,E0,28/12/15,West Ham,Southampton,2,1,1,3.6,3.4,2.2,12,8,1.33571428571429,4,4
188,E0,29/12/15,Leicester,Man City,0,0,-1,4.33,4,1.85,16,8,1.26495726495727,8,-5.5
189,E0,30/12/15,Sunderland,Liverpool,0,1,-1,5.5,3.9,1.7,9,10,1.18392857142857,-1,-3
190,E0,02/01/16,Arsenal,Newcastle,1,0,1,1.29,6.5,11,15,5,4.08571428571429,10,13.5
191,E0,02/01/16,Leicester,Bournemouth,0,0,-1,1.91,3.75,4.33,16,12,2.00959158415842,4,6.5
192,E0,02/01/16,Man United,Swansea,2,1,1,1.55,4.2,7,10,7,2.625,3,11
193,E0,02/01/16,Norwich,Southampton,1,0,1,3.2,3.4,2.4,11,9,1.40689655172414,2,1.5
194,E0,02/01/16,Sunderland,Aston Villa,3,1,1,2.5,3.25,3.2,9,9,1.61240310077519,0,1.5
195,E0,02/01/16,Watford,Man City,1,2,-1,5,4,1.75,10,8,1.21739130434783,2,-9.5
196,E0,02/01/16,West Brom,Stoke,2,1,1,2.8,3.2,2.8,12,10,1.49333333333333,2,4
197,E0,02/01/16,West Ham,Liverpool,2,0,1,4,3.5,2.05,14,11,1.29279279279279,3,1.5
198,E0,03/01/16,Crystal Palace,Chelsea,0,3,-1,3.8,3.5,2.1,12,8,1.3125,4,-8
199,E0,03/01/16,Everton,Tottenham,1,1,-1,2.8,3.5,2.63,22,15,1.50163132137031,7,0
200,E0,12/01/16,Aston Villa,Crystal Palace,1,0,1,3.2,3.25,2.45,6,11,1.3969298245614,-5,-4
201,E0,12/01/16,Bournemouth,West Ham,1,3,-1,2,3.6,4,10,14,1.89473684210526,-4,0.5
202,E0,12/01/16,Newcastle,Man United,3,3,-1,5,3.7,1.8,14,12,1.21090909090909,2,2.5
203,E0,13/01/16,Chelsea,West Brom,2,2,-1,1.44,4.5,9,15,6,3,9,11
204,E0,13/01/16,Liverpool,Arsenal,3,3,-1,2.88,3.4,2.6,11,18,1.47333333333333,-7,0
