,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
50,Brazil,2019,9/29/2019,Athletico-PR,Chapecoense-SC,1,1,-1,1.27,5.95,11.32,15,8,3.90005790387956,7
51,Brazil,2019,9/29/2019,Atletico-MG,Ceara,2,1,1,1.58,3.94,6.47,16,6,2.4487800192123,10
52,Brazil,2019,10/1/2019,Avai,Bahia,0,2,-1,3.19,2.98,2.59,6,9,1.38567324955117,-3
53,Brazil,2019,10/1/2019,Fortaleza,Botafogo RJ,1,0,1,1.81,3.67,4.74,10,9,2.0684661117717,1
54,Brazil,2019,10/1/2019,Goias,Cruzeiro,1,0,1,3.09,3.02,2.64,15,8,1.40862190812721,7
55,Brazil,2019,10/2/2019,Atletico-MG,Vasco,1,2,-1,1.81,3.5,5.09,18,7,2.07392316647264,11
56,Brazil,2019,10/2/2019,Chapecoense-SC,Corinthians,0,1,-1,4.22,3.1,2.1,9,9,1.25192307692308,0
57,Brazil,2019,10/5/2019,Sao Paulo,Fortaleza,2,1,1,1.47,4.3,7.9,14,13,2.7844262295082,1
58,Brazil,2019,10/5/2019,Vasco,Santos,0,1,-1,2.58,3.22,2.97,12,9,1.54497576736672,3
59,Brazil,2019,10/5/2019,Bahia,Athletico-PR,1,2,-1,2.19,3.31,3.61,16,15,1.72674855491329,1
60,Brazil,2019,10/5/2019,Gremio,Corinthians,0,0,-1,1.76,3.39,5.76,24,10,2.13403278688525,14
61,Brazil,2019,10/6/2019,Cruzeiro,Internacional,1,1,-1,2.66,2.98,3.09,9,8,1.51700164744646,1
62,Brazil,2019,10/6/2019,Chapecoense-SC,Flamengo RJ,0,1,-1,6.19,3.92,1.61,9,18,1.14126582278481,-9
63,Brazil,2019,10/6/2019,Botafogo RJ,Fluminense,0,1,-1,3.03,3.14,2.59,10,12,1.41930191972077,-2
64,Brazil,2019,10/6/2019,Ceara,Goias,0,1,-1,1.61,3.86,6.25,15,6,2.3862512363996,9
65,Brazil,2019,10/6/2019,Palmeiras,Atletico-MG,1,1,-1,1.41,4.44,9.58,25,8,3.03389443651926,17
66,Brazil,2019,10/6/2019,CSA,Avai,3,1,1,2.54,2.9,3.38,7,6,1.56082802547771,1
67,Brazil,2019,10/9/2019,Botafogo RJ,Goias,3,1,1,2.14,3.33,3.74,10,7,1.7615558698727,3
68,Brazil,2019,10/9/2019,CSA,Internacional,1,0,1,5.3,3.34,1.83,10,9,1.18224371373308,1
69,Brazil,2019,10/10/2019,Fortaleza,Chapecoense-SC,2,0,1,1.63,3.97,5.77,11,9,2.35183778234086,2
70,Brazil,2019,10/10/2019,Bahia,Sao Paulo,0,0,-1,2.56,2.93,3.29,17,9,1.54979099678457,8
71,Brazil,2019,10/10/2019,Gremio,Ceara,2,1,1,1.68,3.54,6.17,24,7,2.24941297631308,17
72,Brazil,2019,10/10/2019,Cruzeiro,Fluminense,0,0,-1,1.84,3.48,4.86,10,13,2.02791366906475,-3
73,Brazil,2019,10/10/2019,Santos,Palmeiras,2,0,1,2.84,3.02,2.85,24,13,1.46626916524702,11
74,Brazil,2019,10/10/2019,Avai,Vasco,0,0,-1,3.22,2.88,2.65,6,9,1.38010849909584,-3
75,Brazil,2019,10/10/2019,Corinthians,Athletico-PR,2,2,-1,1.95,3.29,4.61,15,17,1.91986075949367,-2
76,Brazil,2019,10/11/2019,Flamengo RJ,Atletico-MG,3,1,1,1.5,4.1,7.64,29,9,2.66814310051107,20
77,Brazil,2019,10/12/2019,Goias,CSA,1,0,1,1.65,3.84,5.86,16,4,2.31983505154639,12
78,Brazil,2019,10/12/2019,Fluminense,Bahia,2,0,1,2.12,3.19,3.98,12,11,1.77073919107392,1
79,Brazil,2019,10/13/2019,Palmeiras,Botafogo RJ,1,0,1,1.24,6,13.97,26,9,4.19729594391588,17
80,Brazil,2019,10/13/2019,Athletico-PR,Flamengo RJ,0,2,-1,3.01,3.28,2.51,16,19,1.42189982728843,-3
81,Brazil,2019,10/13/2019,Ceara,Avai,1,0,1,1.54,3.96,7.31,15,7,2.5685536823425,8
82,Brazil,2019,10/13/2019,Internacional,Santos,0,0,-1,2.19,3.23,3.71,20,10,1.72670028818444,10
83,Brazil,2019,10/13/2019,Vasco,Fortaleza,1,0,1,1.55,4.16,6.57,12,14,2.5471761416589,-2
84,Brazil,2019,10/13/2019,Sao Paulo,Corinthians,1,0,1,2.25,2.89,4.1,16,10,1.69513590844063,6
85,Brazil,2019,10/13/2019,Atletico-MG,Gremio,1,4,-1,2.45,3.4,3.01,19,13,1.59656786271451,6
86,Brazil,2019,10/13/2019,Chapecoense-SC,Cruzeiro,1,1,-1,4.21,3.19,2.07,9,8,1.25538022813688,1
87,Brazil,2019,10/16/2019,CSA,Atletico-MG,2,2,-1,3.85,3.35,2.1,11,10,1.29082568807339,1
88,Brazil,2019,10/16/2019,Gremio,Bahia,0,1,-1,1.51,4.23,7.11,26,11,2.65214285714286,15
89,Brazil,2019,10/17/2019,Fortaleza,Flamengo RJ,1,2,-1,6.19,3.98,1.6,13,21,1.14121863799283,-8
90,Brazil,2019,10/17/2019,Cruzeiro,Sao Paulo,1,0,-1,2.66,2.98,3.09,10,9,1.51700164744646,1
91,Brazil,2019,10/17/2019,Palmeiras,Chapecoense-SC,1,0,-1,1.16,7.49,21.35,27,9,5.54478155339806,18
92,Brazil,2019,10/17/2019,Goias,Corinthians,2,2,-1,2.93,2.97,2.81,17,10,1.44389273356401,7
93,Brazil,2019,10/17/2019,Vasco,Botafogo RJ,2,1,-1,1.74,3.61,5.43,13,9,2.16839601769911,4
94,Brazil,2019,10/17/2019,Avai,Internacional,0,2,-1,4.02,3.02,2.2,6,9,1.2727969348659,-3
95,Brazil,2019,10/17/2019,Santos,Ceara,2,1,-1,1.51,4.07,7.54,26,8,2.64322136089578,18
96,Brazil,2019,10/18/2019,Fluminense,Athletico-PR,1,2,-1,2.54,3.24,3.01,14,19,1.560384,-5
97,Brazil,2019,10/19/2019,Fortaleza,Gremio,2,1,1,2.79,3,2.91,14,17,1.47715736040609,-3
98,Brazil,2019,10/19/2019,Corinthians,Cruzeiro,1,2,-1,2.37,3.03,3.54,17,9,1.63260273972603,8
99,Brazil,2019,10/20/2019,Atletico-MG,Santos,2,0,1,2.37,3.42,3.12,20,10,1.63155963302752,10
100,Brazil,2019,10/20/2019,Internacional,Vasco,0,1,-1,1.81,3.45,5.2,20,9,2.07398843930636,11
101,Brazil,2019,10/20/2019,Sao Paulo,Avai,1,0,1,1.38,4.66,9.79,17,7,3.15719031141868,10
102,Brazil,2019,10/20/2019,Flamengo RJ,Fluminense,2,0,1,1.47,4.36,7.72,32,13,2.78635761589404,19
103,Brazil,2019,10/20/2019,Athletico-PR,Palmeiras,1,1,-1,2.83,3.23,2.69,16,13,1.46768581081081,3
104,Brazil,2019,10/20/2019,Chapecoense-SC,Goias,2,2,-1,1.99,3.32,4.35,10,8,1.88292046936115,2
105,Brazil,2019,10/21/2019,Bahia,Ceara,1,2,-1,1.69,3.62,5.85,17,9,2.23621964097149,8
106,Brazil,2019,10/22/2019,Botafogo RJ,CSA,2,1,1,1.71,3.55,5.8,13,4,2.20213903743315,9
107,Brazil,2019,10/26/2019,Ceara,Vasco,1,1,-1,2.02,3.42,4.08,16,10,1.86048,6
