Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,29/09/2018,Chelsea,Liverpool,1,1,D,2.8,3.6,2.54,39,34,1.48925081433225,5
E0,29/09/2018,Everton,Fulham,3,0,H,1.75,4.2,4.75,30,12,2.22905027932961,18
E0,29/09/2018,Huddersfield,Tottenham,0,2,A,8.5,4.5,1.44,10,33,1.09090909090909,-23
E0,29/09/2018,Man City,Brighton,2,0,H,1.1,12,34,57,16,8.8695652173913,41
E0,29/09/2018,Newcastle,Leicester,0,2,A,2.6,3.3,3,24,27,1.57142857142857,-3
E0,29/09/2018,West Ham,Man United,3,1,H,4.5,3.8,1.85,32,32,1.24424778761062,0
E0,29/09/2018,Wolves,Southampton,2,0,H,1.8,3.6,5.25,28,18,2.13559322033898,10
E0,30/09/2018,Cardiff,Burnley,1,2,A,2.62,3,3.2,21,21,1.54838709677419,0
E0,01/10/2018,Bournemouth,Crystal Palace,2,1,H,2.25,3.5,3.4,30,32,1.72463768115942,-2
E0,05/10/2018,Brighton,West Ham,1,0,H,2.7,3.3,2.87,19,20,1.53500810372771,-1
E0,06/10/2018,Burnley,Huddersfield,1,1,D,2.14,3.1,4.2,24,12,1.78356164383562,12
E0,06/10/2018,Crystal Palace,Wolves,0,1,A,3,3.2,2.62,19,19,1.44054982817869,0
E0,06/10/2018,Leicester,Everton,1,2,A,2.2,3.4,3.6,24,24,1.74857142857143,0
E0,06/10/2018,Man United,Newcastle,3,2,H,1.44,4.5,9,33,18,3,15
E0,06/10/2018,Tottenham,Cardiff,1,0,H,1.22,7,15,34,13,4.77272727272727,21
E0,06/10/2018,Watford,Bournemouth,0,4,A,2.14,3.6,3.5,26,26,1.77464788732394,0
E0,07/10/2018,Fulham,Arsenal,1,5,A,5.25,4.33,1.66,22,31,1.19996661101836,-9
E0,07/10/2018,Liverpool,Man City,0,0,D,2.54,3.6,2.8,55,38,1.575,17
E0,07/10/2018,Southampton,Chelsea,0,3,A,6,4.1,1.61,27,24,1.15604203152364,3
E0,20/10/2018,Bournemouth,Southampton,0,0,D,2.04,3.7,3.75,30,18,1.86241610738255,12
E0,20/10/2018,Cardiff,Fulham,4,2,H,2.5,3.5,2.95,21,12,1.60077519379845,9
E0,20/10/2018,Chelsea,Man United,2,2,D,1.75,3.8,5.25,39,32,2.20441988950276,7
E0,20/10/2018,Huddersfield,Liverpool,0,1,A,11,5.5,1.33,10,34,1.0710102489019,-24
E0,20/10/2018,Man City,Burnley,5,0,H,1.08,13,34,57,21,9.40425531914894,36
E0,20/10/2018,Newcastle,Brighton,0,1,A,2.2,3.25,3.8,24,16,1.75177304964539,8
E0,20/10/2018,West Ham,Tottenham,0,1,A,4.1,3.9,1.9,32,33,1.27758620689655,-1
E0,20/10/2018,Wolves,Watford,0,2,A,1.75,3.75,5.25,28,26,2.1875,2
E0,21/10/2018,Everton,Crystal Palace,2,0,H,1.85,3.6,4.75,30,32,2.04790419161677,-2
E0,22/10/2018,Arsenal,Leicester,3,1,H,1.53,4.5,6.5,42,27,2.65909090909091,15
E0,27/10/2018,Brighton,Wolves,1,0,H,3.2,3.2,2.5,19,19,1.40350877192982,0
E0,27/10/2018,Fulham,Bournemouth,0,3,A,2.9,3.75,2.4,22,26,1.46341463414634,-4
E0,27/10/2018,Leicester,West Ham,1,1,D,2.1,3.5,3.8,24,20,1.82191780821918,4
E0,27/10/2018,Liverpool,Cardiff,4,1,H,1.11,11,26,55,13,7.72972972972973,42
E0,27/10/2018,Southampton,Newcastle,0,0,D,2.1,3.4,3.9,27,18,1.81643835616438,9
E0,27/10/2018,Watford,Huddersfield,3,0,H,1.75,3.75,5.25,26,12,2.1875,14
E0,28/10/2018,Burnley,Chelsea,0,4,A,11,5,1.36,24,24,1.06918238993711,0
E0,28/10/2018,Crystal Palace,Arsenal,2,2,D,4.75,4.1,1.75,19,31,1.22649572649573,-12
E0,28/10/2018,Man United,Everton,2,1,H,1.72,3.9,5.25,33,24,2.23770491803279,9
E0,29/10/2018,Tottenham,Man City,0,1,A,4.75,4.1,1.75,34,38,1.22649572649573,-4
E0,03/11/2018,Arsenal,Liverpool,1,1,D,3.9,3.9,1.95,42,34,1.3,8
E0,03/11/2018,Bournemouth,Man United,1,2,A,3.6,3.7,2.1,30,32,1.33965517241379,-2
E0,03/11/2018,Cardiff,Leicester,0,1,A,3.8,3.4,2.14,21,27,1.31335740072202,-6
E0,03/11/2018,Everton,Brighton,3,1,H,1.61,4,6.5,30,16,2.47619047619048,14
E0,03/11/2018,Newcastle,Watford,1,0,H,2.75,3.25,2.8,24,26,1.50413223140496,-2
E0,03/11/2018,West Ham,Burnley,4,2,H,1.75,3.75,5.25,32,21,2.1875,11
E0,03/11/2018,Wolves,Tottenham,2,3,A,3.1,3.4,2.45,28,33,1.42393162393162,-5
E0,04/11/2018,Chelsea,Crystal Palace,3,1,H,1.25,6.75,13,39,32,4.44303797468354,7
E0,04/11/2018,Man City,Southampton,6,1,H,1.11,11,29,57,18,7.975,39
E0,05/11/2018,Huddersfield,Fulham,1,0,H,2.3,3.5,3.3,10,12,1.69852941176471,-2
E0,10/11/2018,Cardiff,Brighton,2,1,H,2.6,3.1,3.1,21,16,1.55,5
E0,10/11/2018,Crystal Palace,Tottenham,0,1,A,4.5,3.75,1.85,19,33,1.23883928571429,-14
E0,10/11/2018,Huddersfield,West Ham,1,1,D,3.4,3.25,2.35,10,20,1.36383928571429,-10
E0,10/11/2018,Leicester,Burnley,0,0,D,1.5,4.33,8,24,21,2.80940794809408,3
E0,10/11/2018,Newcastle,Bournemouth,2,1,H,2.9,3.4,2.6,24,26,1.47333333333333,-2
E0,10/11/2018,Southampton,Watford,1,1,D,2.5,3.3,3.1,27,26,1.5984375,1
