Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,09/08/2019,Liverpool,Norwich,4,1,H,1.14,10,19,52,7,6.55172413793104,45
E0,10/08/2019,West Ham,Man City,0,5,A,12,6.5,1.22,30,45,1.02720207253886,-15
E0,10/08/2019,Bournemouth,Sheffield United,1,1,D,1.95,3.6,3.6,22,15,1.8,7
E0,10/08/2019,Burnley,Southampton,3,0,H,2.62,3.2,2.75,24,30,1.47899159663866,-6
E0,10/08/2019,Crystal Palace,Everton,0,0,D,3,3.25,2.37,15,20,1.37055160142349,-5
E0,10/08/2019,Watford,Brighton,0,3,A,1.9,3.4,4,22,19,1.83783783783784,3
E0,10/08/2019,Tottenham,Aston Villa,3,1,H,1.3,5.25,10,36,19,3.44262295081967,17
E0,11/08/2019,Leicester,Wolves,0,0,D,2.2,3.2,3.4,35,24,1.64848484848485,11
E0,11/08/2019,Newcastle,Arsenal,0,1,A,4.5,3.75,1.72,20,20,1.17915904936015,0
E0,11/08/2019,Man United,Chelsea,4,0,H,2.1,3.3,3.5,40,39,1.69852941176471,1
E0,17/08/2019,Arsenal,Burnley,2,1,H,1.3,5.5,10,36,19,3.54838709677419,17
E0,17/08/2019,Aston Villa,Bournemouth,1,2,A,2.3,3.4,3.1,22,18,1.62153846153846,4
E0,17/08/2019,Brighton,West Ham,1,1,D,2.55,3.25,2.87,20,19,1.52410130718954,1
E0,17/08/2019,Everton,Watford,1,0,H,1.72,3.8,4.75,24,14,2.11111111111111,10
E0,17/08/2019,Norwich,Newcastle,3,1,H,2.25,3.3,3.3,19,18,1.65,1
E0,17/08/2019,Southampton,Liverpool,1,2,A,6.5,4.75,1.44,21,33,1.10500807754443,-12
E0,17/08/2019,Man City,Tottenham,2,2,D,1.36,5.25,8,57,25,3.16981132075472,32
E0,18/08/2019,Sheffield United,Crystal Palace,1,0,H,2.55,3.1,2.9,57,16,1.49833333333333,41
E0,18/08/2019,Chelsea,Leicester,1,1,D,1.7,3.75,5,30,32,2.14285714285714,-2
E0,19/08/2019,Wolves,Man United,1,1,D,3.3,3.3,2.25,27,26,1.33783783783784,1
E0,23/08/2019,Aston Villa,Everton,2,0,H,3.25,3.5,2.15,22,20,1.33185840707965,2
E0,24/08/2019,Norwich,Chelsea,2,3,A,4.33,3.75,1.8,19,39,1.21621621621622,-20
E0,24/08/2019,Brighton,Southampton,0,2,A,2.4,3.3,3,20,30,1.57142857142857,-10
E0,24/08/2019,Man United,Crystal Palace,1,2,A,1.33,5.25,9,40,16,3.31578947368421,24
E0,24/08/2019,Sheffield United,Leicester,1,2,A,3.3,3.3,2.25,40,32,1.33783783783784,8
E0,24/08/2019,Watford,West Ham,1,3,A,2.05,3.5,3.5,22,19,1.75,3
E0,24/08/2019,Liverpool,Arsenal,3,1,H,1.5,4.6,6,52,20,2.60377358490566,32
E0,25/08/2019,Bournemouth,Man City,1,3,A,15,7.5,1.16,22,45,1.00461893764434,-23
E0,25/08/2019,Tottenham,Newcastle,0,1,A,1.2,6.5,14,36,18,4.4390243902439,18
E0,25/08/2019,Wolves,Burnley,1,1,D,1.85,3.4,4.5,27,19,1.93670886075949,8
E0,31/08/2019,Southampton,Man United,1,1,D,3.8,3.3,2.05,21,26,1.26448598130841,-5
E0,31/08/2019,Chelsea,Sheffield United,2,2,D,1.36,4.75,9,30,15,3.10909090909091,15
E0,31/08/2019,Crystal Palace,Aston Villa,1,0,H,2.15,3.3,3.5,15,19,1.69852941176471,-4
E0,31/08/2019,Leicester,Bournemouth,3,1,H,1.7,4,4.75,35,18,2.17142857142857,17
E0,31/08/2019,Man City,Brighton,4,0,H,1.08,10,26,57,19,7.22222222222222,38
E0,31/08/2019,Newcastle,Watford,1,1,D,2.5,3.25,2.87,20,14,1.52410130718954,6
E0,31/08/2019,West Ham,Norwich,2,0,H,1.85,3.9,3.9,30,7,1.95,23
E0,31/08/2019,Burnley,Liverpool,0,3,A,9.5,5.5,1.3,24,33,1.05147058823529,-9
E0,01/09/2019,Everton,Wolves,3,2,H,2.2,3.25,3.5,24,24,1.68518518518519,0
E0,01/09/2019,Arsenal,Tottenham,2,2,D,2.37,3.6,2.8,36,25,1.575,11
E0,14/09/2019,Liverpool,Newcastle,3,1,H,1.14,8.5,17,52,18,5.66666666666667,34
E0,14/09/2019,Brighton,Burnley,1,1,D,2.15,3.3,3.5,20,19,1.69852941176471,1
E0,14/09/2019,Man United,Leicester,1,0,H,1.95,3.5,4,40,32,1.86666666666667,8
E0,14/09/2019,Sheffield United,Southampton,0,1,A,2.45,3.2,3,40,30,1.54838709677419,10
E0,14/09/2019,Tottenham,Crystal Palace,4,0,H,1.36,5.25,8,36,16,3.16981132075472,20
E0,14/09/2019,Wolves,Chelsea,2,5,A,2.9,3.3,2.5,27,39,1.42241379310345,-12
E0,14/09/2019,Norwich,Man City,3,2,H,15,9,1.14,19,45,1.01183431952663,-26
E0,15/09/2019,Bournemouth,Everton,3,1,H,2.9,3.5,2.4,22,20,1.42372881355932,2
E0,15/09/2019,Watford,Arsenal,2,2,D,3.6,3.6,2,22,20,1.28571428571429,2
E0,16/09/2019,Aston Villa,West Ham,0,0,D,2.62,3.5,2.6,22,19,1.49180327868852,3
E0,20/09/2019,Southampton,Bournemouth,1,3,A,2.05,3.6,3.5,21,18,1.77464788732394,3
E0,21/09/2019,Leicester,Tottenham,2,1,H,2.87,3.5,2.37,35,25,1.41311754684838,10
E0,21/09/2019,Burnley,Norwich,2,0,H,2,3.8,3.5,24,7,1.82191780821918,17
E0,21/09/2019,Everton,Sheffield United,0,2,A,1.61,3.75,6,24,15,2.30769230769231,9
E0,21/09/2019,Man City,Watford,8,0,H,1.1,11,21,57,14,7.21875,43
E0,21/09/2019,Newcastle,Brighton,0,0,D,2.5,3.2,3,20,19,1.54838709677419,1
E0,22/09/2019,Crystal Palace,Wolves,1,1,D,2.62,3.1,2.87,15,24,1.49028475711893,-9
E0,22/09/2019,West Ham,Man United,2,0,H,3.1,3.6,2.2,30,26,1.36551724137931,4
E0,22/09/2019,Arsenal,Aston Villa,3,2,H,1.4,4.75,8,36,19,2.98039215686275,17
E0,22/09/2019,Chelsea,Liverpool,1,2,A,3.5,3.75,2,30,33,1.30434782608696,-3
E0,28/09/2019,Sheffield United,Liverpool,0,1,A,9,5.25,1.33,30,33,1.06117021276596,-3
E0,28/09/2019,Aston Villa,Burnley,2,2,D,2.3,3.4,3.1,22,19,1.62153846153846,3
E0,28/09/2019,Bournemouth,West Ham,2,2,D,2.5,3.5,2.75,22,19,1.54,3
E0,28/09/2019,Chelsea,Brighton,2,0,H,1.4,4.75,8,30,19,2.98039215686275,11
E0,28/09/2019,Crystal Palace,Norwich,2,0,H,1.9,3.75,3.75,15,7,1.875,8
E0,28/09/2019,Tottenham,Southampton,2,1,H,1.4,4.75,8,36,30,2.98039215686275,6
E0,28/09/2019,Wolves,Watford,2,0,H,1.85,3.4,4.5,27,14,1.93670886075949,13
E0,28/09/2019,Everton,Man City,1,3,A,10,5.5,1.3,24,45,1.05147058823529,-21
E0,29/09/2019,Leicester,Newcastle,5,0,H,1.5,4,7.5,35,18,2.60869565217391,17
E0,30/09/2019,Man United,Arsenal,1,1,D,2.37,3.5,2.9,40,20,1.5859375,20
E0,05/10/2019,Brighton,Tottenham,3,0,H,3.9,3.6,1.9,20,25,1.24363636363636,-5
E0,05/10/2019,Burnley,Everton,1,0,H,2.87,3.3,2.5,24,20,1.42241379310345,4
E0,05/10/2019,Liverpool,Leicester,2,1,H,1.44,4.75,7,52,32,2.82978723404255,20
E0,05/10/2019,Norwich,Aston Villa,1,5,A,2.37,3.6,2.8,19,19,1.575,0
E0,05/10/2019,Watford,Sheffield United,0,0,D,2.05,3.4,3.6,22,15,1.74857142857143,7
E0,05/10/2019,West Ham,Crystal Palace,1,2,A,1.95,3.6,3.8,30,16,1.84864864864865,14
E0,06/10/2019,Arsenal,Bournemouth,1,0,H,1.44,4.75,7,36,18,2.82978723404255,18
E0,06/10/2019,Man City,Wolves,0,2,A,1.12,9,21,57,24,6.3,33
E0,06/10/2019,Southampton,Chelsea,1,4,A,4,3.8,1.85,21,39,1.24424778761062,-18
E0,06/10/2019,Newcastle,Man United,1,0,H,4.5,3.5,1.85,20,26,1.21028037383178,-6
E0,19/10/2019,Everton,West Ham,2,0,H,1.95,3.75,3.75,24,19,1.875,5
E0,19/10/2019,Aston Villa,Brighton,2,1,H,2.35,3.4,3,22,19,1.59375,3
E0,19/10/2019,Bournemouth,Norwich,0,0,D,1.72,4.2,4.2,22,7,2.1,15
E0,19/10/2019,Chelsea,Newcastle,1,0,H,1.3,5.5,10,30,18,3.54838709677419,12
E0,19/10/2019,Leicester,Burnley,2,1,H,1.57,4,6,35,19,2.4,16
E0,19/10/2019,Tottenham,Watford,1,1,D,1.4,5,7.5,36,14,3,22
E0,19/10/2019,Wolves,Southampton,1,1,D,1.8,3.6,4.5,27,30,2,-3
E0,19/10/2019,Crystal Palace,Man City,0,2,A,12,7,1.22,15,45,1.03892944038929,-30
E0,20/10/2019,Man United,Liverpool,1,1,D,5.25,3.8,1.65,40,33,1.15045871559633,7
E0,21/10/2019,Sheffield United,Arsenal,1,0,H,3.9,3.75,1.9,40,20,1.26106194690265,20
E0,25/10/2019,Southampton,Leicester,0,9,A,3.1,3.4,2.3,21,32,1.3719298245614,-11
E0,26/10/2019,Man City,Aston Villa,3,0,H,1.08,11,26,57,19,7.72972972972973,38
E0,26/10/2019,Brighton,Everton,3,2,H,2.9,3.25,2.5,20,20,1.41304347826087,0
E0,26/10/2019,Watford,Bournemouth,0,0,D,2.15,3.6,3.25,22,18,1.70802919708029,4
E0,26/10/2019,West Ham,Sheffield United,1,1,D,2.1,3.5,3.5,30,15,1.75,15
E0,26/10/2019,Burnley,Chelsea,2,4,A,4.5,4,1.72,24,39,1.2027972027972,-15
E0,27/10/2019,Newcastle,Wolves,1,1,D,3,3.1,2.55,20,24,1.39911504424779,-4
E0,27/10/2019,Arsenal,Crystal Palace,2,2,D,1.45,4.75,6.5,36,16,2.74444444444444,20
E0,27/10/2019,Liverpool,Tottenham,2,1,H,1.5,4.33,6.5,52,25,2.59879963065559,27
E0,27/10/2019,Norwich,Man United,1,3,A,4.33,4,1.75,19,26,1.21739130434783,-7
E0,02/11/2019,Bournemouth,Man United,1,0,H,3.25,3.6,2.15,22,26,1.34608695652174,-4
E0,02/11/2019,Arsenal,Wolves,1,1,D,1.75,3.75,4.75,36,24,2.09558823529412,12
E0,02/11/2019,Aston Villa,Liverpool,1,2,A,9,5,1.33,22,33,1.05055292259084,-11
E0,02/11/2019,Brighton,Norwich,2,0,H,1.72,4.2,4.33,20,7,2.13200468933177,13
E0,02/11/2019,Man City,Southampton,2,1,H,1.07,13,23,57,30,8.30555555555556,27
E0,02/11/2019,Sheffield United,Burnley,3,0,H,2.25,3.2,3.4,57,19,1.64848484848485,38
E0,02/11/2019,West Ham,Newcastle,2,3,A,1.75,3.8,4.5,30,18,2.06024096385542,12
E0,02/11/2019,Watford,Chelsea,1,2,A,5,4.33,1.61,22,39,1.17361952861953,-17
E0,03/11/2019,Crystal Palace,Leicester,0,2,A,3.5,3.4,2.1,15,32,1.29818181818182,-17
E0,03/11/2019,Everton,Tottenham,1,1,D,2.7,3.4,2.6,24,25,1.47333333333333,-1
E0,08/11/2019,Norwich,Watford,0,2,A,2.7,3.5,2.55,19,14,1.47520661157025,5
E0,09/11/2019,Chelsea,Crystal Palace,2,0,H,1.33,5,10,30,16,3.33333333333333,14
E0,09/11/2019,Burnley,West Ham,3,0,H,2.25,3.5,3.1,24,19,1.64393939393939,5
E0,09/11/2019,Newcastle,Bournemouth,2,1,H,2.55,3.25,2.8,20,18,1.50413223140496,2
E0,09/11/2019,Southampton,Everton,1,2,A,2.9,3.3,2.45,21,20,1.40608695652174,1
E0,09/11/2019,Tottenham,Sheffield United,1,1,D,1.57,4,6,36,15,2.4,21
E0,09/11/2019,Leicester,Arsenal,2,0,H,2,3.75,3.5,35,20,1.81034482758621,15
E0,10/11/2019,Man United,Brighton,3,1,H,1.6,3.75,6.5,40,19,2.3780487804878,21
E0,10/11/2019,Wolves,Aston Villa,2,1,H,1.9,3.5,4.2,27,19,1.90909090909091,8
E0,10/11/2019,Liverpool,Man City,3,1,H,2.5,3.6,2.62,52,45,1.51639871382637,7
E0,23/11/2019,West Ham,Tottenham,2,3,A,4.2,4.33,1.7,30,25,1.22072968490879,5
E0,23/11/2019,Arsenal,Southampton,2,2,D,1.45,4.75,6.5,36,30,2.74444444444444,6
E0,23/11/2019,Bournemouth,Wolves,1,2,A,2.75,3.3,2.6,22,24,1.45423728813559,-2
E0,23/11/2019,Brighton,Leicester,0,2,A,3.75,3.5,2,20,32,1.27272727272727,-12
E0,23/11/2019,Crystal Palace,Liverpool,1,2,A,7.5,4.75,1.4,15,33,1.08130081300813,-18
E0,23/11/2019,Everton,Norwich,0,2,A,1.36,5.1,8,24,7,3.11450381679389,17
E0,23/11/2019,Watford,Burnley,0,3,A,2.3,3.4,3.1,22,19,1.62153846153846,3
E0,23/11/2019,Man City,Chelsea,2,1,H,1.44,5,6.5,57,39,2.82608695652174,18
E0,24/11/2019,Sheffield United,Man United,3,3,D,3.5,3.4,2.1,57,26,1.29818181818182,31
E0,25/11/2019,Aston Villa,Newcastle,2,0,H,2.05,3.4,3.7,22,18,1.77183098591549,4
E0,30/11/2019,Newcastle,Man City,2,2,D,13,8,1.16,20,45,1.01310043668122,-25
E0,30/11/2019,Burnley,Crystal Palace,0,2,A,2.25,3.25,3.3,24,16,1.63740458015267,8
E0,30/11/2019,Chelsea,West Ham,0,1,A,1.28,6,9,30,19,3.6,11
E0,30/11/2019,Liverpool,Brighton,2,1,H,1.18,7,15,52,19,4.77272727272727,33
E0,30/11/2019,Tottenham,Bournemouth,3,2,H,1.36,5.5,7.5,36,18,3.17307692307692,18
E0,30/11/2019,Southampton,Watford,2,1,H,2.1,3.4,3.5,21,14,1.72463768115942,7
E0,01/12/2019,Norwich,Arsenal,2,2,D,4,4.33,1.75,19,20,1.24629934210526,-1
E0,01/12/2019,Wolves,Sheffield United,1,1,D,1.9,3.5,4.2,27,15,1.90909090909091,12
E0,01/12/2019,Leicester,Everton,2,1,H,1.61,4,5.25,35,20,2.27027027027027,15
E0,01/12/2019,Man United,Aston Villa,2,2,D,1.45,4.5,7,40,19,2.73913043478261,21
E0,03/12/2019,Crystal Palace,Bournemouth,1,0,H,2.2,3.4,3.25,15,18,1.66165413533835,-3
E0,03/12/2019,Burnley,Man City,1,4,A,11,7,1.22,24,45,1.03892944038929,-21
E0,04/12/2019,Chelsea,Aston Villa,2,1,H,1.28,5.75,10,30,19,3.65079365079365,11
E0,04/12/2019,Leicester,Watford,2,0,H,1.33,5.5,8,35,14,3.25925925925926,21
E0,04/12/2019,Man United,Tottenham,2,1,H,2.75,3.4,2.55,40,25,1.45714285714286,15
E0,04/12/2019,Southampton,Norwich,2,1,H,1.72,4,4.2,21,7,2.04878048780488,14
E0,04/12/2019,Wolves,West Ham,2,0,H,1.75,3.7,4.75,27,19,2.07988165680473,8
E0,04/12/2019,Liverpool,Everton,5,2,H,1.36,5,8.5,52,20,3.14814814814815,32
E0,05/12/2019,Sheffield United,Newcastle,0,2,A,1.83,3.4,4.6,52,18,1.955,34
E0,05/12/2019,Arsenal,Brighton,1,2,A,1.57,4.33,5.5,36,19,2.42268565615463,17
E0,07/12/2019,Everton,Chelsea,3,1,H,3.5,3.75,2,24,39,1.30434782608696,-15
E0,07/12/2019,Bournemouth,Liverpool,0,3,A,7,5.25,1.4,22,33,1.10526315789474,-11
E0,07/12/2019,Tottenham,Burnley,5,0,H,1.4,4.75,8,36,19,2.98039215686275,17
E0,07/12/2019,Watford,Crystal Palace,0,0,D,2.37,3.3,3.1,22,16,1.5984375,6
E0,07/12/2019,Man City,Man United,1,2,A,1.3,5.5,10,57,26,3.54838709677419,31
E0,08/12/2019,Aston Villa,Leicester,1,4,A,4.33,3.8,1.8,22,32,1.22142857142857,-10
E0,08/12/2019,Newcastle,Southampton,2,1,H,2.5,3.2,2.9,20,30,1.52131147540984,-10
E0,08/12/2019,Norwich,Sheffield United,1,2,A,2.9,3.5,2.37,19,15,1.41311754684838,4
E0,08/12/2019,Brighton,Wolves,2,2,D,2.62,3.1,2.87,20,24,1.49028475711893,-4
E0,09/12/2019,West Ham,Arsenal,1,3,A,3.3,4,2,30,20,1.33333333333333,10
E0,14/12/2019,Liverpool,Watford,2,0,H,1.16,7.5,17,52,14,5.20408163265306,38
E0,14/12/2019,Burnley,Newcastle,1,0,H,1.95,3.4,4,24,18,1.83783783783784,6
E0,14/12/2019,Chelsea,Bournemouth,0,1,A,1.25,6,12,30,18,4,12
E0,14/12/2019,Leicester,Norwich,1,1,D,1.22,6.5,13,35,7,4.33333333333333,28
E0,14/12/2019,Sheffield United,Aston Villa,2,0,H,1.85,3.75,4.2,35,19,1.9811320754717,16
E0,14/12/2019,Southampton,West Ham,0,1,A,1.9,3.8,3.8,21,19,1.9,2
E0,15/12/2019,Man United,Everton,1,1,D,1.8,3.7,4.5,40,20,2.03048780487805,20
E0,15/12/2019,Wolves,Tottenham,1,2,A,3.25,3.4,2.25,27,25,1.35398230088496,2
E0,15/12/2019,Arsenal,Man City,0,3,A,6,5.25,1.44,36,45,1.13004484304933,-9
E0,16/12/2019,Crystal Palace,Brighton,1,1,D,2.55,3.25,2.87,15,19,1.52410130718954,-4
E0,21/12/2019,Everton,Arsenal,0,0,D,2.3,3.8,2.87,24,20,1.63508245877061,4
E0,21/12/2019,Aston Villa,Southampton,1,3,A,2.4,3.6,2.8,22,30,1.575,-8
