,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
58,F1,23/09/2018,Lyon,Marseille,4,2,H,1.95,3.5,3.8,4,4,1.82191780821918,0
59,F1,23/09/2018,Rennes,Paris SG,1,3,A,7.5,4.5,1.4,3,7,1.06779661016949,-4
60,F1,25/09/2018,Monaco,Angers,0,1,A,1.75,3.8,4.75,3,4,2.11111111111111,-1
61,F1,25/09/2018,Nantes,Nice,1,2,A,2.4,3.2,3.1,2,2,1.57460317460317,0
62,F1,25/09/2018,Toulouse,St Etienne,2,3,A,2.6,3,3,4,1,1.5,3
63,F1,26/09/2018,Amiens,Rennes,2,1,H,3.25,3.1,2.4,7,4,1.35272727272727,3
64,F1,26/09/2018,Bordeaux,Lille,1,0,H,2.45,3.2,3,5,3,1.54838709677419,2
65,F1,26/09/2018,Caen,Montpellier,2,2,D,3,3,2.6,3,3,1.39285714285714,0
66,F1,26/09/2018,Dijon,Lyon,0,3,A,5.75,4.2,1.57,3,2,1.14280762564991,1
67,F1,26/09/2018,Marseille,Strasbourg,3,2,H,1.44,4.5,7.5,10,3,2.8125,7
68,F1,26/09/2018,Nimes,Guingamp,0,0,D,1.95,3.6,3.8,5,1,1.84864864864865,4
69,F1,26/09/2018,Paris SG,Reims,4,1,H,1.12,9,21,10,2,6.3,8
70,F1,28/09/2018,St Etienne,Monaco,2,0,H,1.95,3.4,4,4,5,1.83783783783784,-1
71,F1,29/09/2018,Angers,Guingamp,0,1,A,2.14,3.2,3.7,4,1,1.71594202898551,3
72,F1,29/09/2018,Caen,Amiens,1,0,H,2.14,3.25,3.6,5,1,1.70802919708029,4
73,F1,29/09/2018,Lyon,Nantes,1,1,D,1.3,5.75,9.5,8,4,3.58196721311475,4
74,F1,29/09/2018,Nice,Paris SG,0,3,A,7.5,5.5,1.36,2,10,1.09037900874636,-8
75,F1,29/09/2018,Reims,Bordeaux,0,0,D,2.3,3.25,3.25,1,4,1.625,-3
76,F1,29/09/2018,Strasbourg,Dijon,3,0,H,1.95,3.5,4,6,6,1.86666666666667,0
77,F1,30/09/2018,Lille,Marseille,3,0,H,3.1,3.4,2.3,8,6,1.3719298245614,2
78,F1,30/09/2018,Montpellier,Nimes,3,0,H,1.85,3.6,4.33,3,8,1.9656998738966,-5
79,F1,30/09/2018,Rennes,Toulouse,1,1,D,1.95,3.5,4,4,2,1.86666666666667,2
80,F1,05/10/2018,Toulouse,Nice,1,1,D,2.37,3.3,3.1,6,4,1.5984375,2
81,F1,06/10/2018,Amiens,Dijon,1,0,H,2.4,3.25,3.1,9,6,1.58661417322835,3
82,F1,06/10/2018,Angers,Strasbourg,2,2,D,2.37,3.1,3.3,4,5,1.5984375,-1
83,F1,06/10/2018,Guingamp,Montpellier,1,1,D,2.8,3.1,2.7,3,5,1.44310344827586,-2
84,F1,06/10/2018,Lille,St Etienne,3,1,H,2,3.4,3.9,11,4,1.81643835616438,7
85,F1,06/10/2018,Nimes,Reims,0,0,D,2.3,3.3,3.2,5,3,1.62461538461538,2
86,F1,07/10/2018,Bordeaux,Nantes,3,0,H,2.25,3.2,3.4,6,5,1.64848484848485,1
87,F1,07/10/2018,Marseille,Caen,2,0,H,1.33,5.25,9,13,4,3.31578947368421,9
88,F1,07/10/2018,Monaco,Rennes,1,2,A,2,3.5,3.75,3,5,1.81034482758621,-2
89,F1,07/10/2018,Paris SG,Lyon,5,0,H,1.33,5.5,8.5,14,5,3.33928571428571,9
90,F1,19/10/2018,Lyon,Nimes,2,0,H,1.3,5.5,9.5,9,8,3.48333333333333,1
91,F1,20/10/2018,Caen,Guingamp,0,0,D,2.1,3.25,3.75,6,2,1.74107142857143,4
92,F1,20/10/2018,Dijon,Lille,1,2,A,3.3,3.5,2.14,3,3,1.32801418439716,0
93,F1,20/10/2018,Nantes,Toulouse,4,0,H,2,3.3,4,3,3,1.80821917808219,0
94,F1,20/10/2018,Paris SG,Amiens,5,0,H,1.08,11,26,19,1,7.72972972972973,18
95,F1,20/10/2018,Reims,Angers,1,1,D,2.25,3.1,3.5,1,5,1.64393939393939,-4
96,F1,20/10/2018,Strasbourg,Monaco,2,1,H,2.7,3.25,2.7,9,5,1.47478991596639,4
97,F1,21/10/2018,Montpellier,Bordeaux,2,0,H,2.14,3.25,3.6,6,4,1.70802919708029,2
98,F1,21/10/2018,Nice,Marseille,0,1,A,3.5,3.5,2.04,2,6,1.28880866425993,-4
99,F1,21/10/2018,St Etienne,Rennes,1,1,D,2.14,3.2,3.75,6,7,1.72661870503597,-1
100,F1,26/10/2018,Nimes,St Etienne,1,1,D,2.62,3.3,2.7,5,5,1.485,0
101,F1,27/10/2018,Amiens,Nantes,1,2,A,3,3.2,2.5,10,5,1.40350877192982,5
102,F1,27/10/2018,Angers,Lyon,1,2,A,3.8,3.6,1.95,6,5,1.26486486486486,1
103,F1,27/10/2018,Guingamp,Strasbourg,1,1,D,2.37,3.2,3.2,4,7,1.6,-3
104,F1,27/10/2018,Lille,Caen,1,0,H,1.5,4,7.5,14,4,2.60869565217391,10
105,F1,27/10/2018,Monaco,Dijon,2,2,D,1.66,4,5,4,6,2.22222222222222,-2
106,F1,27/10/2018,Toulouse,Montpellier,0,3,A,2.8,3.1,2.7,7,6,1.44310344827586,1
107,F1,28/10/2018,Bordeaux,Nice,0,1,A,2.3,3.3,3.25,9,5,1.63740458015267,4
108,F1,28/10/2018,Marseille,Paris SG,0,2,A,6,5,1.44,15,13,1.11801242236025,2
109,F1,28/10/2018,Rennes,Reims,0,2,A,1.7,3.4,5.75,5,3,2.13661202185792,2
110,F1,02/11/2018,Paris SG,Lille,2,1,H,1.16,8,15,24,5,5.21739130434783,19
111,F1,03/11/2018,Caen,Rennes,1,2,A,3.5,3.25,2.2,6,8,1.31192660550459,-2
112,F1,03/11/2018,Dijon,Nimes,0,4,A,2.14,3.4,3.4,4,8,1.7,-4
113,F1,03/11/2018,Lyon,Bordeaux,1,1,D,1.44,4.75,7,11,4,2.82978723404255,7
114,F1,03/11/2018,Nice,Amiens,1,0,H,1.72,3.6,5.25,2,1,2.13559322033898,1
115,F1,03/11/2018,Reims,Monaco,1,0,H,2.5,3.3,2.87,2,6,1.53500810372771,-4
116,F1,03/11/2018,Strasbourg,Toulouse,1,1,D,1.85,3.6,4.33,11,3,1.9656998738966,8
117,F1,04/11/2018,Montpellier,Marseille,3,0,H,3,3.2,2.5,8,7,1.40350877192982,1
118,F1,04/11/2018,Nantes,Guingamp,5,0,H,1.83,3.5,4.5,7,2,1.96875,5
119,F1,04/11/2018,St Etienne,Angers,4,3,H,1.95,3.3,4.2,7,6,1.848,1
120,F1,09/11/2018,Lille,Strasbourg,0,0,D,1.72,3.75,5,15,8,2.14285714285714,7
121,F1,10/11/2018,Angers,Montpellier,1,0,H,3,3.1,2.6,7,9,1.4140350877193,-2
122,F1,10/11/2018,Guingamp,Lyon,2,4,A,5,4,1.66,5,7,1.17314487632509,-2
123,F1,10/11/2018,Nimes,Nice,0,1,A,2.3,3.25,3.25,6,6,1.625,0
124,F1,10/11/2018,St Etienne,Reims,2,0,H,1.8,3.5,4.75,11,5,2.01515151515152,6
125,F1,10/11/2018,Toulouse,Amiens,0,1,A,2.14,3.2,3.6,7,1,1.69411764705882,6
126,F1,11/11/2018,Bordeaux,Caen,0,0,D,1.85,3.5,4.5,9,4,1.96875,5
127,F1,11/11/2018,Marseille,Dijon,2,0,H,1.33,4.75,11,15,8,3.31746031746032,7
128,F1,11/11/2018,Monaco,Paris SG,0,4,A,11,6.5,1.25,6,15,1.04838709677419,-9
129,F1,11/11/2018,Rennes,Nantes,1,1,D,2.14,3.3,3.6,5,7,1.72173913043478,-2
130,F1,23/11/2018,Lyon,St Etienne,1,0,H,1.57,4.2,5.75,12,6,2.42713567839196,6
131,F1,24/11/2018,Caen,Monaco,0,1,A,3.25,3.25,2.3,7,6,1.34684684684685,1
132,F1,24/11/2018,Dijon,Bordeaux,0,0,D,2.87,3.25,2.54,4,5,1.42573402417962,-1
133,F1,24/11/2018,Nantes,Angers,1,1,D,2,3.2,4.2,12,9,1.81621621621622,3
134,F1,24/11/2018,Paris SG,Toulouse,1,0,H,1.14,9,15,26,4,5.625,22
135,F1,24/11/2018,Reims,Guingamp,2,1,H,2,3.2,4.2,3,2,1.81621621621622,1
136,F1,24/11/2018,Strasbourg,Nimes,0,1,A,2.1,3.4,3.6,12,12,1.74857142857143,0
137,F1,25/11/2018,Amiens,Marseille,1,3,A,4.6,3.75,1.75,11,7,1.19318181818182,4
138,F1,25/11/2018,Montpellier,Rennes,2,2,D,2.3,3,3.6,11,10,1.63636363636364,1
139,F1,25/11/2018,Nice,Lille,2,0,H,2.6,3.1,3,3,6,1.52459016393443,-3
