Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,07/10/2018,5,16,2,1,H,1.53,4.33,6,,,2.51500484027106
SP1,07/10/2018,3,0,1,1,D,4.75,4.2,1.64,,,1.17945205479452
SP1,07/10/2018,15,19,1,0,H,1.9,3.5,4.2,,,1.90909090909091
SP1,19/10/2018,16,10,0,1,A,1.66,4,5,,,2.22222222222222
SP1,20/10/2018,0,5,4,2,H,1.33,6,7.5,,,3.33333333333333
SP1,20/10/2018,1,14,1,2,A,1.14,8.5,19,,,5.87272727272727
SP1,20/10/2018,3,12,1,1,D,1.5,4,7.5,,,2.60869565217391
SP1,20/10/2018,13,2,1,1,D,3.8,3.1,2.14,,,1.26603053435115
SP1,21/10/2018,9,15,0,1,A,1.61,3.8,6,,,2.3265306122449
SP1,21/10/2018,11,7,1,1,D,2.7,3.2,2.75,,,1.47899159663866
SP1,21/10/2018,19,6,0,2,A,3.5,3.3,2.14,,,1.29816176470588
SP1,21/10/2018,17,4,1,2,A,2.9,3.3,2.5,,,1.42241379310345
SP1,22/10/2018,8,18,0,0,D,1.72,3.75,5,,,2.14285714285714
SP1,24/10/2018,17,7,1,1,D,3.3,3.3,2.25,,,1.33783783783784
SP1,26/10/2018,15,6,1,1,D,3.4,3.1,2.25,,,1.30373831775701
SP1,27/10/2018,7,3,0,0,D,2.5,3.3,2.87,,,1.53500810372771
SP1,27/10/2018,2,8,2,0,H,1.53,3.8,7.5,,,2.52212389380531
SP1,27/10/2018,16,11,4,0,H,2.14,3.3,3.6,,,1.72173913043478
SP1,27/10/2018,18,17,2,1,H,1.85,3.5,4.5,,,1.96875
SP1,27/10/2018,14,12,2,0,H,2.1,3.25,3.75,,,1.74107142857143
SP1,28/10/2018,10,13,2,1,H,3,3.2,2.5,,,1.40350877192982
SP1,28/10/2018,0,1,5,1,H,1.95,3.8,3.6,,,1.84864864864865
SP1,28/10/2018,4,9,2,0,H,2.4,3.1,3.25,,,1.58661417322835
SP1,28/10/2018,5,19,2,1,H,1.22,6.5,13,,,4.33333333333333
SP1,03/11/2018,12,2,1,1,D,5.75,3.4,1.72,,,1.1421875
SP1,03/11/2018,1,15,2,0,H,1.16,8,15,,,5.21739130434783
SP1,03/11/2018,3,18,0,1,A,1.5,4,7.5,,,2.60869565217391
SP1,03/11/2018,17,0,2,3,A,9.5,6,1.28,,,1.05494505494506
SP1,04/11/2018,9,16,3,3,D,1.8,3.8,4.5,,,2.06024096385542
SP1,04/11/2018,11,10,2,1,H,2.04,3.3,3.9,,,1.7875
SP1,04/11/2018,19,4,1,1,D,3.6,3.3,2.1,,,1.28333333333333
SP1,04/11/2018,8,5,0,0,D,2.75,3.5,2.45,,,1.44117647058824
SP1,04/11/2018,13,14,1,1,D,1.55,4,6,,,2.4
SP1,05/11/2018,6,7,1,0,H,2,3.3,4,,,1.80821917808219
SP1,09/11/2018,14,8,1,3,A,2.62,3.4,2.62,,,1.4797342192691
SP1,10/11/2018,2,7,3,2,H,1.44,4,9,,,2.76923076923077
SP1,10/11/2018,4,3,0,1,A,2.75,3.1,2.75,,,1.45726495726496
SP1,10/11/2018,18,12,0,0,D,2.04,3.2,3.75,,,1.72661870503597
SP1,10/11/2018,15,11,0,0,D,2.3,3.3,3.25,,,1.63740458015267
SP1,11/11/2018,10,19,2,1,H,1.8,3.6,4.33,,,1.9656998738966
SP1,11/11/2018,0,9,3,4,A,1.18,7,13,,,4.55
SP1,11/11/2018,16,1,2,4,A,5,4.5,1.55,,,1.15289256198347
SP1,11/11/2018,5,6,2,1,H,1.75,3.6,4.5,,,2
SP1,11/11/2018,17,13,2,2,D,3.1,3.4,2.25,,,1.35398230088496
SP1,23/11/2018,12,10,1,0,H,2.2,3.1,3.6,,,1.66567164179104
SP1,24/11/2018,2,0,1,1,D,3,3.3,2.37,,,1.37936507936508
SP1,24/11/2018,11,1,3,0,H,6,4.33,1.53,,,1.13052901023891
