Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
Brazil,2019,5/12/2019,Avai,CSA,0,0,D,1.7,3.67,5.62,1,0,2.22017222820237,1
Brazil,2019,5/12/2019,Fortaleza,Sao Paulo,0,1,A,2.97,3,2.77,2,2,1.44020797227036,0
Brazil,2019,5/18/2019,Fluminense,Cruzeiro,4,1,H,2.65,3.04,3.08,0,2,1.52993464052288,-2
Brazil,2019,5/18/2019,Atletico-MG,Flamengo RJ,2,1,H,2.88,3.21,2.68,2,2,1.46057724957555,0
Brazil,2019,5/18/2019,Palmeiras,Santos,4,0,H,1.68,3.75,5.76,5,2,2.27129337539432,3
Brazil,2019,5/19/2019,Sao Paulo,Bahia,0,0,D,1.83,3.41,5.1,3,2,2.04359576968273,1
Brazil,2019,5/19/2019,Athletico-PR,Corinthians,0,2,A,2.25,3.1,3.76,5,3,1.69912536443149,2
Brazil,2019,5/19/2019,Chapecoense-SC,Fortaleza,1,3,A,2.41,3.01,3.52,3,0,1.62254211332312,3
Brazil,2019,5/19/2019,Goias,Botafogo RJ,1,0,H,2.26,3.2,3.61,3,1,1.69632892804699,2
Brazil,2019,5/19/2019,Internacional,CSA,2,0,H,1.22,6.05,17.04,5,0,4.46478995236033,5
Brazil,2019,5/19/2019,Ceara,Gremio,2,1,H,3.03,3.09,2.65,5,1,1.42656794425087,4
Brazil,2019,5/19/2019,Vasco,Avai,1,1,D,1.71,3.71,5.48,2,1,2.21227421109902,1
Brazil,2019,5/25/2019,Botafogo RJ,Palmeiras,0,1,A,8.64,4.39,1.43,4,3,1.07864261168385,1
Brazil,2019,5/25/2019,Gremio,Atletico-MG,1,0,H,1.63,3.95,5.85,5,4,2.35790816326531,1
Brazil,2019,5/26/2019,Flamengo RJ,Athletico-PR,3,2,H,1.43,4.52,8.23,5,2,2.91761568627451,3
Brazil,2019,5/26/2019,Santos,Internacional,0,0,D,1.85,3.6,4.63,5,0,2.02527339003645,5
Brazil,2019,5/26/2019,Bahia,Fluminense,3,2,H,1.91,3.37,4.71,4,6,1.96444306930693,-2
Brazil,2019,5/26/2019,Corinthians,Sao Paulo,1,0,H,2.45,2.83,3.71,1,3,1.60539755351682,-2
Brazil,2019,5/26/2019,Cruzeiro,Chapecoense-SC,1,2,A,1.4,4.37,10.03,3,1,3.04382638888889,2
Brazil,2019,5/26/2019,Fortaleza,Vasco,1,1,D,1.89,3.48,4.58,2,1,1.97746898263027,1
Brazil,2019,5/28/2019,Avai,Ceara,1,2,A,2.64,2.89,3.27,1,1,1.53413961038961,0
Brazil,2019,5/28/2019,CSA,Goias,1,0,H,2.84,2.9,3,1,2,1.47457627118644,-1
Brazil,2019,6/1/2019,Flamengo RJ,Fortaleza,2,0,H,1.42,4.66,8.05,8,3,2.95145554681353,5
Brazil,2019,6/1/2019,Bahia,Gremio,1,0,H,2.48,2.98,3.41,7,2,1.59026604068858,5
Brazil,2019,6/2/2019,Botafogo RJ,Vasco,1,0,H,2.35,3.19,3.42,4,2,1.65049924357035,2
Brazil,2019,6/2/2019,Athletico-PR,Fluminense,3,0,H,1.66,3.88,5.67,5,8,2.30362303664921,-3
Brazil,2019,6/2/2019,Ceara,Santos,0,1,A,2.84,3.21,2.73,7,2,1.47530303030303,5
Brazil,2019,6/2/2019,Sao Paulo,Cruzeiro,1,1,D,2.37,2.98,3.65,3,3,1.64057315233786,0
Brazil,2019,6/2/2019,Atletico-MG,CSA,4,0,H,1.41,4.64,8.45,4,0,2.99526355996944,4
Brazil,2019,6/2/2019,Chapecoense-SC,Palmeiras,1,2,A,6.2,3.54,1.68,4,4,1.13931034482759,0
Brazil,2019,6/2/2019,Internacional,Avai,2,0,H,1.44,4.3,8.84,7,2,2.89284627092846,5
Brazil,2019,6/8/2019,Vasco,Internacional,2,1,H,3.12,3.14,2.53,3,0,1.40109347442681,3
Brazil,2019,6/8/2019,Palmeiras,Athletico-PR,1,0,H,1.58,3.75,7.14,9,4,2.45867768595041,5
Brazil,2019,6/8/2019,Cruzeiro,Corinthians,0,0,D,1.91,3.26,4.93,4,5,1.96236874236874,-1
Brazil,2019,6/8/2019,Gremio,Fortaleza,1,0,H,1.48,4.21,7.99,6,3,2.75720491803279,3
Brazil,2019,6/8/2019,Ceara,Bahia,0,0,D,2.65,2.96,3.16,7,2,1.5283660130719,5
Brazil,2019,6/9/2019,Avai,Sao Paulo,0,0,D,3.1,2.91,2.75,2,3,1.41386925795053,-1
Brazil,2019,6/9/2019,CSA,Botafogo RJ,1,2,A,3.11,2.99,2.67,2,1,1.41047703180212,1
Brazil,2019,6/9/2019,Fluminense,Flamengo RJ,0,0,D,5,3.67,1.78,4,3,1.19864220183486,1
Brazil,2019,6/9/2019,Santos,Atletico-MG,3,1,H,1.75,3.81,4.98,5,4,2.15856655290102,1
Brazil,2019,6/11/2019,Goias,Chapecoense-SC,3,1,H,1.87,3.31,5.02,4,3,1.9947418967587,1
Brazil,2019,6/12/2019,Botafogo RJ,Gremio,0,1,A,3.21,3.08,2.51,5,2,1.38296958855098,3
Brazil,2019,6/13/2019,Fortaleza,Cruzeiro,2,1,H,3.35,3.1,2.42,3,4,1.35905797101449,-1
Brazil,2019,6/13/2019,CSA,Flamengo RJ,0,2,A,13.92,5.83,1.25,3,3,1.02930790960452,0
Brazil,2019,6/13/2019,Internacional,Bahia,3,1,H,1.74,3.5,5.65,9,2,2.16120218579235,7
Brazil,2019,6/13/2019,Santos,Corinthians,1,0,H,1.72,3.5,5.9,8,5,2.1968085106383,3
Brazil,2019,6/13/2019,Vasco,Ceara,1,0,H,2.2,3.21,3.71,5,3,1.72096820809249,2
Brazil,2019,6/14/2019,Atletico-MG,Sao Paulo,1,1,D,1.97,3.31,4.49,8,3,1.90537179487179,5
Brazil,2019,6/14/2019,Chapecoense-SC,Fluminense,1,1,D,2.77,3.07,2.87,5,8,1.4833164983165,-3
Brazil,2019,6/14/2019,Goias,Athletico-PR,2,1,H,2.96,3.15,2.63,7,4,1.4333044982699,3
Brazil,2019,6/14/2019,Palmeiras,Avai,2,0,H,1.26,5.33,16.58,10,2,4.03338201734368,8
Brazil,2019,7/13/2019,Fortaleza,Avai,2,0,H,2.03,3.07,4.54,5,2,1.8315111695138,3
Brazil,2019,7/13/2019,Gremio,Vasco,2,1,H,1.57,3.92,6.44,7,2,2.43675675675676,5
Brazil,2019,7/13/2019,Bahia,Santos,0,1,A,2.77,3.13,2.79,8,3,1.47511824324324,5
Brazil,2019,7/13/2019,Sao Paulo,Palmeiras,1,1,D,3.81,2.9,2.31,4,6,1.28579654510557,-2
Brazil,2019,7/14/2019,Flamengo RJ,Goias,6,1,H,1.24,6.16,12.49,10,2,4.12538337801609,8
Brazil,2019,7/14/2019,Athletico-PR,Internacional,1,0,H,1.63,3.9,5.94,8,1,2.35426829268293,7
Brazil,2019,7/14/2019,Corinthians,CSA,1,0,H,1.37,4.36,12.39,2,0,3.22509850746269,2
Brazil,2019,7/14/2019,Cruzeiro,Botafogo RJ,0,0,D,1.68,3.69,5.87,4,3,2.26572175732218,1
Brazil,2019,7/14/2019,Chapecoense-SC,Atletico-MG,1,2,A,2.51,3.16,3.13,6,5,1.57246422893482,1
Brazil,2019,7/16/2019,Fluminense,Ceara,1,1,D,1.67,3.54,6.34,4,3,2.27161943319838,1
Brazil,2019,7/20/2019,Vasco,Fluminense,2,1,H,2.43,3.21,3.21,6,9,1.605,-3
Brazil,2019,7/20/2019,Bahia,Cruzeiro,0,0,D,1.67,3.72,5.92,8,5,2.28448132780083,3
Brazil,2019,7/20/2019,Ceara,Palmeiras,2,0,H,5.15,3.36,1.84,7,7,1.18892307692308,0
Brazil,2019,7/20/2019,CSA,Athletico-PR,0,4,A,3.53,3.38,2.2,3,5,1.3326164874552,-2
Brazil,2019,7/20/2019,Internacional,Gremio,1,1,D,2.29,2.92,3.92,12,3,1.67345029239766,9
Brazil,2019,7/21/2019,Botafogo RJ,Santos,0,1,A,3.61,3.13,2.28,5,4,1.31911275415896,1
Brazil,2019,7/21/2019,Atletico-MG,Fortaleza,2,2,D,1.51,4.29,6.88,9,3,2.64236347358997,6
Brazil,2019,7/21/2019,Corinthians,Flamengo RJ,1,1,D,3.1,2.92,2.71,3,5,1.40554174067496,-2
Brazil,2019,7/21/2019,Avai,Goias,0,0,D,2.02,3.26,4.3,2,3,1.8542328042328,-1
Brazil,2019,7/23/2019,Sao Paulo,Chapecoense-SC,4,0,H,1.53,3.87,7.92,5,4,2.59969465648855,1
Brazil,2019,7/27/2019,Palmeiras,Vasco,1,1,D,1.47,4.05,8.75,12,3,2.7685546875,9
Brazil,2019,7/27/2019,Cruzeiro,Athletico-PR,0,2,A,3.8,3.18,2.18,4,9,1.29335820895522,-5
Brazil,2019,7/27/2019,Fluminense,Sao Paulo,1,2,A,2.49,3.14,3.18,5,4,1.57993670886076,1
Brazil,2019,7/27/2019,Internacional,Ceara,1,0,H,1.99,3.22,4.56,13,4,1.88730077120823,9
Brazil,2019,7/28/2019,Chapecoense-SC,Bahia,0,0,D,2.81,3.04,2.87,7,3,1.47627749576988,4
Brazil,2019,7/28/2019,Flamengo RJ,Botafogo RJ,3,2,H,1.4,4.75,8.49,16,3,3.0458836858006,13
Brazil,2019,7/28/2019,Santos,Avai,3,1,H,1.29,5.25,13.32,9,2,3.76575121163166,7
Brazil,2019,7/28/2019,Fortaleza,Corinthians,1,3,A,2.53,2.96,3.31,7,5,1.56261562998405,2
Brazil,2019,7/28/2019,Goias,Atletico-MG,0,0,D,3.01,3.35,2.48,9,7,1.42504288164666,2
Brazil,2019,7/30/2019,CSA,Gremio,0,0,D,5.91,3.64,1.68,3,4,1.14947368421053,-1
Brazil,2019,8/3/2019,Ceara,Fortaleza,2,1,H,2.31,2.98,3.75,9,5,1.66047548291233,4
Brazil,2019,8/3/2019,Fluminense,Internacional,2,1,H,1.92,3.35,4.67,6,1,1.95068578553616,5
Brazil,2019,8/4/2019,Santos,Goias,6,1,H,1.23,6.49,13.63,12,3,4.39655566600398,9
Brazil,2019,8/4/2019,Avai,Botafogo RJ,0,2,A,2.31,2.96,3.77,2,5,1.65812778603269,-3
Brazil,2019,8/4/2019,Bahia,Flamengo RJ,3,0,H,2.91,3.24,2.61,8,6,1.44553846153846,2
Brazil,2019,8/4/2019,Atletico-MG,Cruzeiro,2,0,H,2.09,3.27,4.01,11,5,1.80119505494506,6
Brazil,2019,8/4/2019,Corinthians,Palmeiras,1,1,D,3.76,2.77,2.45,4,7,1.30009578544061,-3
Brazil,2019,8/4/2019,Vasco,CSA,0,0,D,1.6,3.73,6.8,8,0,2.40873694207028,8
Brazil,2019,8/6/2019,Gremio,Chapecoense-SC,3,3,D,1.29,5.34,12.25,9,4,3.71887436043206,5
Brazil,2019,8/7/2019,Corinthians,Goias,2,0,H,1.52,3.92,7.98,5,4,2.62870588235294,1
Brazil,2019,8/10/2019,Ceara,Chapecoense-SC,4,1,H,1.65,3.8,5.89,11,7,2.30980392156863,4
Brazil,2019,8/10/2019,Sao Paulo,Santos,3,2,H,2.64,2.99,3.11,9,5,1.52440983606557,4
Brazil,2019,8/10/2019,Flamengo RJ,Gremio,3,1,H,1.59,3.77,6.94,19,4,2.44293183940243,15
Brazil,2019,8/11/2019,Atletico-MG,Fluminense,2,1,H,1.85,3.69,4.49,13,10,2.02544009779951,3
Brazil,2019,8/11/2019,Internacional,Corinthians,0,0,D,1.93,3.21,4.92,14,8,1.94258302583026,6
Brazil,2019,8/11/2019,Avai,Cruzeiro,2,2,D,3.25,3.03,2.52,2,5,1.37578378378378,-3
Brazil,2019,8/11/2019,Botafogo RJ,Athletico-PR,2,1,H,2.16,3.34,3.66,5,11,1.74634285714286,-6
Brazil,2019,8/11/2019,Palmeiras,Bahia,2,2,D,1.38,4.53,10.17,13,3,3.13402040816327,10
Brazil,2019,8/11/2019,Goias,Vasco,0,1,A,2.16,3.26,3.76,9,4,1.74609686609687,5
Brazil,2019,8/13/2019,CSA,Fortaleza,0,2,A,3.01,3.06,2.66,3,6,1.42300699300699,-3
Brazil,2019,8/17/2019,Corinthians,Botafogo RJ,2,0,H,1.56,3.81,7.26,7,7,2.49869918699187,0
Brazil,2019,8/17/2019,Fortaleza,Internacional,0,1,A,2.23,3.27,3.56,8,2,1.70442166910688,6
Brazil,2019,8/17/2019,Athletico-PR,Atletico-MG,1,0,H,1.87,3.85,4.15,9,7,1.9971875,2
Brazil,2019,8/17/2019,Vasco,Flamengo RJ,1,4,A,6.11,3.78,1.64,8,6,1.14376383763838,2
Brazil,2019,8/18/2019,Gremio,Palmeiras,1,1,D,2.82,3.05,2.84,12,8,1.47062818336163,4
Brazil,2019,8/18/2019,Bahia,Goias,1,1,D,1.48,4.25,7.71,11,4,2.73975752508361,7
Brazil,2019,8/18/2019,Cruzeiro,Santos,2,0,H,2.81,3.09,2.82,4,7,1.47441624365482,-3
Brazil,2019,8/18/2019,Fluminense,CSA,0,1,A,1.31,5.34,10.63,8,0,3.5544270507201,8
Brazil,2019,8/18/2019,Sao Paulo,Ceara,1,0,H,1.66,3.55,6.55,12,4,2.30222772277228,8
Brazil,2019,8/18/2019,Chapecoense-SC,Avai,1,0,H,2.12,3.1,4.12,7,3,1.76897506925208,4
Brazil,2019,8/21/2019,Athletico-PR,Sao Paulo,0,1,A,2.02,3.28,4.3,10,6,1.86068601583113,4
Brazil,2019,8/24/2019,Atletico-MG,Bahia,0,1,A,2.07,3.21,4.16,15,5,1.81188602442334,10
Brazil,2019,8/24/2019,Gremio,Athletico-PR,2,1,H,2.2,3.27,3.64,13,12,1.72254703328509,1
Brazil,2019,8/25/2019,Goias,Internacional,2,1,H,2.6,3.13,3.02,9,3,1.5370081300813,6
Brazil,2019,8/25/2019,Santos,Fortaleza,3,3,D,1.33,5.12,10.82,18,8,3.47543287327478,10
Brazil,2019,8/25/2019,Vasco,Sao Paulo,2,0,H,2.98,2.97,2.76,9,7,1.43057591623037,2
Brazil,2019,8/25/2019,Avai,Corinthians,1,1,D,2.85,2.88,2.97,4,8,1.46215384615385,-4
Brazil,2019,8/25/2019,Ceara,Flamengo RJ,0,3,A,3.24,3.29,2.37,15,10,1.3776148409894,5
Brazil,2019,8/25/2019,CSA,Cruzeiro,1,1,D,4.33,3.28,2.01,3,7,1.24627599243856,-4
Brazil,2019,8/27/2019,Botafogo RJ,Chapecoense-SC,0,0,D,1.8,3.48,5.15,7,8,2.07670915411356,-1
Brazil,2019,8/31/2019,Sao Paulo,Gremio,0,0,D,2.05,3.24,4.22,13,5,1.83281501340483,8
Brazil,2019,8/31/2019,Bahia,CSA,1,0,H,1.33,4.83,12.23,12,1,3.46253810082063,11
Brazil,2019,8/31/2019,Athletico-PR,Ceara,1,0,H,1.44,4.47,8.24,10,4,2.89793863099921,6
Brazil,2019,8/31/2019,Chapecoense-SC,Santos,0,1,A,4.16,3.63,1.93,8,7,1.26005395683453,1
Brazil,2019,9/1/2019,Internacional,Botafogo RJ,3,2,H,1.55,4.03,6.89,14,7,2.5427380952381,7
Brazil,2019,9/1/2019,Flamengo RJ,Palmeiras,3,0,H,2.23,3.17,3.68,22,9,1.70300729927007,13
Brazil,2019,9/1/2019,Fortaleza,Goias,2,0,H,1.87,3.41,4.82,8,5,1.99710814094775,3
Brazil,2019,9/1/2019,Corinthians,Atletico-MG,1,0,H,2.22,2.9,4.17,9,7,1.71046676096181,2
Brazil,2019,9/1/2019,Cruzeiro,Vasco,1,0,H,1.78,3.53,5.24,6,5,2.10914481185861,1
Brazil,2019,9/3/2019,Fluminense,Avai,0,1,A,1.54,3.94,7.24,8,3,2.55148479427549,5
Brazil,2019,9/7/2019,Corinthians,Ceara,2,2,D,1.69,3.45,6.34,10,4,2.23421859039837,6
Brazil,2019,9/7/2019,Vasco,Bahia,0,2,A,2.24,3.08,3.79,11,6,1.6991557496361,5
Brazil,2019,9/7/2019,Avai,Flamengo RJ,0,3,A,8.98,4.43,1.42,5,13,1.07531623931624,-8
Brazil,2019,9/7/2019,Fortaleza,Fluminense,0,1,A,2.28,3.24,3.47,10,11,1.67552906110283,-1
Brazil,2019,9/7/2019,Internacional,Sao Paulo,1,0,H,2.55,3.02,3.22,17,7,1.55839743589744,10
Brazil,2019,9/8/2019,Goias,Palmeiras,1,2,A,5.91,3.56,1.7,11,9,1.15057034220532,2
Brazil,2019,9/8/2019,Cruzeiro,Gremio,1,4,A,2.66,3,3.08,7,5,1.51973684210526,2
Brazil,2019,9/8/2019,Botafogo RJ,Atletico-MG,2,1,H,3.38,3.44,2.23,7,7,1.35294532627866,0
Brazil,2019,9/8/2019,Santos,Athletico-PR,1,1,D,1.5,4.39,6.95,21,13,2.69052028218695,8
Brazil,2019,9/8/2019,CSA,Chapecoense-SC,2,0,H,2.59,2.98,3.2,4,8,1.54304207119741,-4
Brazil,2019,9/11/2019,Palmeiras,Fluminense,3,0,H,1.32,5.11,11.4,15,12,3.52840702604482,3
Brazil,2019,9/14/2019,Flamengo RJ,Santos,1,0,H,1.58,4.04,6.25,25,8,2.45383867832847,17
Brazil,2019,9/14/2019,Chapecoense-SC,Vasco,1,2,A,2.83,2.97,2.9,8,5,1.46729131175468,3
Brazil,2019,9/14/2019,Palmeiras,Cruzeiro,1,0,H,1.31,5.48,10.55,18,8,3.60661260137243,10
Brazil,2019,9/15/2019,Ceara,Botafogo RJ,0,0,D,1.69,3.7,5.7,15,9,2.2436170212766,6
Brazil,2019,9/15/2019,Athletico-PR,Avai,0,1,A,1.79,3.46,5.26,11,4,2.08711009174312,7
Brazil,2019,9/15/2019,Atletico-MG,Internacional,1,3,A,1.69,3.71,5.61,15,4,2.2331652360515,11
Brazil,2019,9/15/2019,Bahia,Fortaleza,1,1,D,1.61,3.79,6.47,13,11,2.38999025341131,2
Brazil,2019,9/15/2019,Fluminense,Corinthians,1,0,H,3.23,3.06,2.51,8,9,1.37892280071813,-1
Brazil,2019,9/15/2019,Gremio,Goias,3,0,H,1.27,6.05,11.57,15,5,3.97267309875142,10
Brazil,2019,9/15/2019,Sao Paulo,CSA,1,1,D,1.28,5.29,13.82,13,1,3.82563055991627,12
Brazil,2019,9/21/2019,Botafogo RJ,Sao Paulo,1,2,A,3.73,3.26,2.17,9,7,1.30279926335175,2
Brazil,2019,9/21/2019,Cruzeiro,Flamengo RJ,1,2,A,3.94,3.49,2.03,8,16,1.28346014492754,-8
Brazil,2019,9/21/2019,Corinthians,Bahia,2,1,H,1.93,3.19,4.96,12,8,1.94139877300614,4
Brazil,2019,9/22/2019,Santos,Gremio,0,3,A,2.04,3.47,3.91,22,9,1.83844173441734,13
Brazil,2019,9/22/2019,Internacional,Chapecoense-SC,1,0,H,1.42,4.39,9.16,18,8,2.96770479704797,10
Brazil,2019,9/22/2019,CSA,Ceara,1,0,H,3.16,3.12,2.51,6,6,1.39097690941385,0
Brazil,2019,9/22/2019,Fortaleza,Palmeiras,0,1,A,4.68,3.5,1.87,10,11,1.21880819366853,-1
Brazil,2019,9/22/2019,Vasco,Athletico-PR,1,1,D,2.13,3.32,3.79,11,14,1.76973277074543,-3
Brazil,2019,9/22/2019,Goias,Fluminense,3,0,H,2.88,3.39,2.55,12,12,1.45530303030303,0
Brazil,2019,9/24/2019,Avai,Atletico-MG,1,0,H,2.6,3.1,3.05,5,8,1.53739837398374,-3
Brazil,2019,9/25/2019,Ceara,Cruzeiro,0,0,D,2.21,3.11,3.82,15,8,1.71431457431457,7
Brazil,2019,9/26/2019,Bahia,Botafogo RJ,2,0,H,1.62,3.92,5.99,14,9,2.36940464177598,5
Brazil,2019,9/26/2019,Flamengo RJ,Internacional,3,1,H,1.6,3.93,6.3,26,7,2.42023460410557,19
Brazil,2019,9/26/2019,Sao Paulo,Goias,0,1,A,1.34,4.92,10.64,14,5,3.36431876606684,9
Brazil,2019,9/26/2019,Palmeiras,CSA,6,2,H,1.19,7.14,16.76,19,2,5.00696234309623,17
Brazil,2019,9/27/2019,Fluminense,Santos,1,1,D,2.59,3.31,2.88,9,8,1.54003231017771,1
Brazil,2019,9/27/2019,Gremio,Avai,6,1,H,1.34,4.71,12.25,18,5,3.40197523584906,13
Brazil,2019,9/27/2019,Athletico-PR,Fortaleza,4,1,H,1.44,4.65,7.65,11,12,2.89207317073171,-1
Brazil,2019,9/28/2019,Flamengo RJ,Sao Paulo,0,0,D,1.68,3.61,6.09,29,9,2.26648453608247,20
Brazil,2019,9/29/2019,Corinthians,Vasco,1,0,H,1.77,3.47,5.46,14,7,2.12163493840985,7
Brazil,2019,9/29/2019,Fluminense,Gremio,2,1,H,2.3,3.31,3.36,10,12,1.66740629685157,-2
Brazil,2019,9/29/2019,Internacional,Palmeiras,1,1,D,3.25,3.03,2.52,19,12,1.37578378378378,7
Brazil,2019,9/29/2019,Santos,CSA,2,0,H,1.2,6.85,15.57,22,4,4.7571141837645,18
Brazil,2019,9/29/2019,Athletico-PR,Chapecoense-SC,1,1,D,1.27,5.95,11.32,15,8,3.90005790387956,7
Brazil,2019,9/29/2019,Atletico-MG,Ceara,2,1,H,1.58,3.94,6.47,16,6,2.4487800192123,10
Brazil,2019,10/1/2019,Avai,Bahia,0,2,A,3.19,2.98,2.59,6,9,1.38567324955117,-3
Brazil,2019,10/1/2019,Fortaleza,Botafogo RJ,1,0,H,1.81,3.67,4.74,10,9,2.0684661117717,1
Brazil,2019,10/1/2019,Goias,Cruzeiro,1,0,H,3.09,3.02,2.64,15,8,1.40862190812721,7
Brazil,2019,10/2/2019,Atletico-MG,Vasco,1,2,A,1.81,3.5,5.09,18,7,2.07392316647264,11
Brazil,2019,10/2/2019,Chapecoense-SC,Corinthians,0,1,A,4.22,3.1,2.1,9,9,1.25192307692308,0
Brazil,2019,10/5/2019,Sao Paulo,Fortaleza,2,1,H,1.47,4.3,7.9,14,13,2.7844262295082,1
Brazil,2019,10/5/2019,Vasco,Santos,0,1,A,2.58,3.22,2.97,12,9,1.54497576736672,3
Brazil,2019,10/5/2019,Bahia,Athletico-PR,1,2,A,2.19,3.31,3.61,16,15,1.72674855491329,1
Brazil,2019,10/5/2019,Gremio,Corinthians,0,0,D,1.76,3.39,5.76,24,10,2.13403278688525,14
Brazil,2019,10/6/2019,Cruzeiro,Internacional,1,1,D,2.66,2.98,3.09,9,8,1.51700164744646,1
Brazil,2019,10/6/2019,Chapecoense-SC,Flamengo RJ,0,1,A,6.19,3.92,1.61,9,18,1.14126582278481,-9
Brazil,2019,10/6/2019,Botafogo RJ,Fluminense,0,1,A,3.03,3.14,2.59,10,12,1.41930191972077,-2
Brazil,2019,10/6/2019,Ceara,Goias,0,1,A,1.61,3.86,6.25,15,6,2.3862512363996,9
Brazil,2019,10/6/2019,Palmeiras,Atletico-MG,1,1,D,1.41,4.44,9.58,25,8,3.03389443651926,17
Brazil,2019,10/6/2019,CSA,Avai,3,1,H,2.54,2.9,3.38,7,6,1.56082802547771,1
Brazil,2019,10/9/2019,Botafogo RJ,Goias,3,1,H,2.14,3.33,3.74,10,7,1.7615558698727,3
