,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
0,E0,08/08/15,Bournemouth,Aston Villa,0,1,-1,2,3.6,4,20,13,1.89473684210526,7,3.5
1,E0,08/08/15,Chelsea,Swansea,2,2,-1,1.36,5,11,36,19,3.4375,17,8.5
2,E0,08/08/15,Everton,Watford,2,2,-1,1.7,3.9,5.5,27,15,2.28191489361702,12,6
3,E0,08/08/15,Leicester,Sunderland,4,2,1,1.95,3.5,4.33,28,15,1.93550446998723,13,6.5
4,E0,08/08/15,Man United,Tottenham,1,0,1,1.65,4,6,41,27,2.4,14,7
5,E0,08/08/15,Norwich,Crystal Palace,1,3,-1,2.55,3.3,3,20,26,1.57142857142857,-6,-3
6,E0,09/08/15,Arsenal,West Ham,0,2,-1,1.29,6,12,41,19,4,22,11
7,E0,09/08/15,Newcastle,Southampton,2,2,-1,2.88,3.3,2.7,26,17,1.485,9,4.5
8,E0,09/08/15,Stoke,Liverpool,0,1,-1,3.4,3.4,2.3,32,22,1.3719298245614,10,5
9,E0,10/08/15,West Brom,Man City,0,3,-1,5.75,4,1.67,24,39,1.17813051146384,-15,-7.5
10,E0,14/08/15,Aston Villa,Man United,0,1,-1,5.5,3.8,1.73,18,21,1.18878842676311,-3,-1.5
11,E0,15/08/15,Southampton,Everton,0,3,-1,1.95,3.6,4.33,37,21,1.9656998738966,16,8
12,E0,15/08/15,Sunderland,Norwich,1,3,-1,2.5,3.3,3.1,16,15,1.5984375,1,0.5
13,E0,15/08/15,Swansea,Newcastle,2,0,1,1.95,3.6,4.33,27,14,1.9656998738966,13,6.5
14,E0,15/08/15,Tottenham,Stoke,2,2,-1,1.8,3.75,5,31,16,2.14285714285714,15,7.5
15,E0,15/08/15,Watford,West Brom,0,0,-1,2.3,3.4,3.4,20,14,1.7,6,3
16,E0,15/08/15,West Ham,Leicester,1,2,-1,2.25,3.5,3.4,25,18,1.72463768115942,7,3.5
17,E0,16/08/15,Crystal Palace,Arsenal,1,2,-1,5.25,3.9,1.73,21,30,1.19840142095915,-9,-4.5
18,E0,16/08/15,Man City,Chelsea,3,0,1,2.1,3.5,3.75,44,37,1.81034482758621,7,3.5
19,E0,17/08/15,Liverpool,Bournemouth,1,0,1,1.45,4.75,8,30,15,2.98039215686275,15,7.5
20,E0,22/08/15,Crystal Palace,Aston Villa,2,1,1,1.85,3.6,4.75,21,13,2.04790419161677,8,4
